,tilt_angle,tilt_direction,latitude,longitude,class,length,depth,ground_diameter,fiber_strength
0,12 deg,0 deg,00.0000,-000.0000,poleflow.pole_configuration,,,,
1,8 deg,nan,00.0000,-000.0000,poleflow.pole_configuration,,,,
2,5 deg,5.56 rad,00.0000,-000.0000,poleflow.pole_configuration,,,,
3,8.5 deg,0 deg,00.0000,-000.0000,poleflow.pole_configuration,,,,
4,3 deg,0 deg,00.0000,-000.0000,poleflow.pole_configuration,,,,
5,55 deg,0 deg,00.0000,-000.0000,poleflow.pole_configuration,,,,
6,123 deg,0 deg,00.0000,-000.0000,poleflow.pole_configuration,,,,
7,nan,0 deg,00.0000,-000.0000,poleflow.pole_configuration,,,,
8,nan,0 deg,00.0000,-000.0000,poleflow.pole_configuration,,,,
9,nan,0 deg,00.0000,-000.0000,poleflow.pole_configuration,,,,
10,,,,,poleflow.pole,75.5 ft,9.5 ft,75.0 in,6000.5 psi
11,,,,,poleflow.pole,75.5 ft,9.5 ft,75.0 in,6000 psi
12,,,,,poleflow.pole,400.0 in,334.0 in,75.0 in,6000 atm
13,,,,,poleflow.pole,75.5 ft,9.08 ft,75.0 in,6000.5 psi
14,,,,,poleflow.pole,75.5 ft,69.5 ft,75.0 in,6000.5 psi
15,,,,,poleflow.pole,75.5 ft,9.5 ft,75.0 in,6000.5 psi
16,,,,,poleflow.pole,75.5 ft,9.5 ft,75.0 in,6000.5 psi
17,,,,,poleflow.pole,75.5 ft,9.5 ft,75.0 in,nan
18,,,,,poleflow.pole,nan,nan,75.0 in,5 psi
19,,,,,poleflow.pole,nan,nan,75.0 in,nan
