class,name, pole_type, design_ice_thickness, desing_wind_loading, design_temperature, overload_factor_vertical, overload_factor_transverse_general, overload_factor_transverse_crossing, overload_factor_transverse_wire, overload_factor_longitudinal_general, overload_factor_longitudinal_deadend, strength_factor_250b_wood, strength_factor_250b_support, pole_length, pole_depth, ground_diameter, top_diameter, fiber_strength, repair_time, treatment_method
,WOOD-C-45/5,WOOD,,,,,,,,,,,,45 ft,4.5 ft,(32.5/3.14),(19/3.14),8000 psi,1 h,
,WOOD2,WOOD,,,,,,,,,,,,60 ft,4.5 ft,(32.5/3.14),(19/3.14),8000 psi,3 h,
,SYP-20/3,WOOD,,,,,,,,,,,,20 ft, 5.5 ft, (27/3.14), (23/3.14), 8000 psi,,
,SYP-25/3,WOOD,,,,,,,,,,,,25 ft, 5.5 ft, (29.5/3.14), (23/3.14), 8000 psi,,
,SYP-30/5,WOOD,,,,,,,,,,,,30 ft, 5.5 ft, (27.5/3.14), (19/3.14), 8000 psi,,
,SYP-35/5,WOOD,,,,,,,,,,,,35 ft, 5.5 ft, (29/3.14), (19/3.14), 8000 psi,,
,SYP-40/3,WOOD,,,,,,,,,,,,40 ft, 6 ft, (36/3.14), (23/3.14), 8000 psi,,
,SYP-45/4,WOOD,,,,,,,,,,,,45 ft, 6.5 ft, (35/3.14), (21/3.14), 8000 psi,,
,SYP-50/3,WOOD,,,,,,,,,,,,50 ft, 7 ft, (39/3.14), (23/3.14), 8000 psi,,
,SYP-55/2,WOOD,,,,,,,,,,,,55 ft, 7.5 ft, (43.5/3.14), (25/3.14), 8000 psi,,
,SYP-60/1,WOOD,,,,,,,,,,,,60 ft, 8 ft, (48/3.14), (27/3.14), 8000 psi,,
,SYP-70/H-2,WOOD,,,,,,,,,,,,70 ft, 9 ft, (57/3.14), (31/3.14), 8000 psi,,
,SYP-80/H-2,WOOD,,,,,,,,,,,,80 ft, 10 ft, (60/3.14), (31/3.14), 8000 psi,,
,SYP-90/H-2,WOOD,,,,,,,,,,,,90 ft, 11 ft, (63/3.14), (31/3.14), 8000 psi,,
,SYP-100/H-2,WOOD,,,,,,,,,,,,100 ft, 12 ft, (65.5/3.14), (31/3.14), 8000 psi,,
,SYP-110/H-3/3,WOOD,,,,,,,,,,,,110 ft, 13 ft, (71.5/3.14), (33/3.14), 8000 psi,,
,SYP-120/H-4,WOOD,,,,,,,,,,,,120 ft, 14 ft, (77.5/3.14), (35/3.14), 8000 psi,,
