timestamp,measured_real_energy_delta
2020-01-01 00:00:00 PST,+0
2020-01-01 01:00:00 PST,+1317.01
2020-01-01 02:00:00 PST,+2472.83
2020-01-01 03:00:00 PST,+3405.09
2020-01-01 04:00:00 PST,+3953.75
2020-01-01 05:00:00 PST,+4380.47
2020-01-01 06:00:00 PST,+4454.14
2020-01-01 07:00:00 PST,+5161.2
2020-01-01 08:00:00 PST,+5494.05
2020-01-01 09:00:00 PST,+5066.5
2020-01-01 10:00:00 PST,+2834.37
2020-01-01 11:00:00 PST,+2097.21
2020-01-01 12:00:00 PST,+1991.7
2020-01-01 13:00:00 PST,+1901.62
2020-01-01 14:00:00 PST,+1787.19
2020-01-01 15:00:00 PST,+2031.13
2020-01-01 16:00:00 PST,+2734.15
2020-01-01 17:00:00 PST,+2887.19
2020-01-01 18:00:00 PST,+2935.31
2020-01-01 19:00:00 PST,+3205.21
2020-01-01 20:00:00 PST,+3028.86
2020-01-01 21:00:00 PST,+2839.49
2020-01-01 22:00:00 PST,+3010.58
2020-01-01 23:00:00 PST,+4401.77
2020-01-02 00:00:00 PST,+4044.79
2020-01-02 01:00:00 PST,+4335.12
2020-01-02 02:00:00 PST,+4154.24
2020-01-02 03:00:00 PST,+4349.67
2020-01-02 04:00:00 PST,+4290.88
2020-01-02 05:00:00 PST,+4265.83
2020-01-02 06:00:00 PST,+4781.28
2020-01-02 07:00:00 PST,+5459.42
2020-01-02 08:00:00 PST,+5871.04
2020-01-02 09:00:00 PST,+5220.45
2020-01-02 10:00:00 PST,+2932.23
2020-01-02 11:00:00 PST,+2097.21
2020-01-02 12:00:00 PST,+1991.7
2020-01-02 13:00:00 PST,+1901.62
2020-01-02 14:00:00 PST,+1787.19
2020-01-02 15:00:00 PST,+1915.11
2020-01-02 16:00:00 PST,+2423.24
2020-01-02 17:00:00 PST,+2934.13
2020-01-02 18:00:00 PST,+2935.31
2020-01-02 19:00:00 PST,+3205.21
2020-01-02 20:00:00 PST,+3028.86
2020-01-02 21:00:00 PST,+2839.49
2020-01-02 22:00:00 PST,+2619.1
2020-01-02 23:00:00 PST,+3807.56
2020-01-03 00:00:00 PST,+3624.61
2020-01-03 01:00:00 PST,+3768.5
2020-01-03 02:00:00 PST,+3834.45
2020-01-03 03:00:00 PST,+3986.51
2020-01-03 04:00:00 PST,+4332.92
2020-01-03 05:00:00 PST,+4646.78
2020-01-03 06:00:00 PST,+4805.77
2020-01-03 07:00:00 PST,+5406.11
2020-01-03 08:00:00 PST,+5513.1
2020-01-03 09:00:00 PST,+4997.72
2020-01-03 10:00:00 PST,+2289.23
2020-01-03 11:00:00 PST,+2356.91
2020-01-03 12:00:00 PST,+1991.7
2020-01-03 13:00:00 PST,+1901.62
2020-01-03 14:00:00 PST,+2195.41
2020-01-03 15:00:00 PST,+2902.21
2020-01-03 16:00:00 PST,+2831.31
2020-01-03 17:00:00 PST,+3026.42
2020-01-03 18:00:00 PST,+2957.47
2020-01-03 19:00:00 PST,+3205.21
2020-01-03 20:00:00 PST,+3028.86
2020-01-03 21:00:00 PST,+2839.49
2020-01-03 22:00:00 PST,+2619.1
2020-01-03 23:00:00 PST,+3640.66
2020-01-04 00:00:00 PST,+3486.22
2020-01-04 01:00:00 PST,+3559.54
2020-01-04 02:00:00 PST,+3841.71
2020-01-04 03:00:00 PST,+3761.35
