class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,N_300027581,constant_power_A,75.318,46.6779,37.659,23.33895
load,N_300027581,constant_power_B,75.318,46.6779,37.659,23.33895
load,N_300027581,constant_power_C,75.318,46.6779,37.659,23.33895
load,N_300027581,constant_power_A_real,75.318,0.0,37.659,0.0
load,N_300027581,constant_power_B_real,75.318,0.0,37.659,0.0
load,N_300027581,constant_power_C_real,75.318,0.0,37.659,0.0
load,N_300027581,constant_power_A_reac,46.6779,0.0,23.33895,0.0
load,N_300027581,constant_power_B_reac,46.6779,0.0,23.33895,0.0
load,N_300027581,constant_power_C_reac,46.6779,0.0,23.33895,0.0
load,N_300229409,constant_power_A,33123.7,19916.0,16561.85,9958.0
load,N_300229409,constant_power_B,33123.7,19916.0,16561.85,9958.0
load,N_300229409,constant_power_C,33123.7,19916.0,16561.85,9958.0
load,N_300229409,constant_power_A_real,33123.7,0.0,16561.85,0.0
load,N_300229409,constant_power_B_real,33123.7,0.0,16561.85,0.0
load,N_300229409,constant_power_C_real,33123.7,0.0,16561.85,0.0
load,N_300229409,constant_power_A_reac,19916.0,0.0,9958.0,0.0
load,N_300229409,constant_power_B_reac,19916.0,0.0,9958.0,0.0
load,N_300229409,constant_power_C_reac,19916.0,0.0,9958.0,0.0
load,N_300008851,constant_power_A,5586.19,3462.01,2793.095,1731.005
load,N_300008851,constant_power_B,5586.19,3462.01,2793.095,1731.005
load,N_300008851,constant_power_C,5586.19,3462.01,2793.095,1731.005
load,N_300008851,constant_power_A_real,5586.19,0.0,2793.095,0.0
load,N_300008851,constant_power_B_real,5586.19,0.0,2793.095,0.0
load,N_300008851,constant_power_C_real,5586.19,0.0,2793.095,0.0
load,N_300008851,constant_power_A_reac,3462.01,0.0,1731.005,0.0
load,N_300008851,constant_power_B_reac,3462.01,0.0,1731.005,0.0
load,N_300008851,constant_power_C_reac,3462.01,0.0,1731.005,0.0
load,N_300008852,constant_power_A,108667.0,67345.6,54333.5,33672.8
load,N_300008852,constant_power_B,108667.0,67345.6,54333.5,33672.8
load,N_300008852,constant_power_C,108667.0,67345.6,54333.5,33672.8
load,N_300008852,constant_power_A_real,108667.0,0.0,54333.5,0.0
load,N_300008852,constant_power_B_real,108667.0,0.0,54333.5,0.0
load,N_300008852,constant_power_C_real,108667.0,0.0,54333.5,0.0
load,N_300008852,constant_power_A_reac,67345.6,0.0,33672.8,0.0
load,N_300008852,constant_power_B_reac,67345.6,0.0,33672.8,0.0
load,N_300008852,constant_power_C_reac,67345.6,0.0,33672.8,0.0
load,N_300008853,constant_power_A,75117.8,46553.8,37558.9,23276.9
load,N_300008853,constant_power_B,75117.8,46553.8,37558.9,23276.9
load,N_300008853,constant_power_C,75117.8,46553.8,37558.9,23276.9
load,N_300008853,constant_power_A_real,75117.8,0.0,37558.9,0.0
load,N_300008853,constant_power_B_real,75117.8,0.0,37558.9,0.0
load,N_300008853,constant_power_C_real,75117.8,0.0,37558.9,0.0
load,N_300008853,constant_power_A_reac,46553.8,0.0,23276.9,0.0
load,N_300008853,constant_power_B_reac,46553.8,0.0,23276.9,0.0
load,N_300008853,constant_power_C_reac,46553.8,0.0,23276.9,0.0
load,N_300014408,constant_power_A,30896.5,10155.2,15448.25,5077.6
load,N_300014408,constant_power_B,30896.5,10155.2,15448.25,5077.6
load,N_300014408,constant_power_C,30896.5,10155.2,15448.25,5077.6
load,N_300014408,constant_power_A_real,30896.5,0.0,15448.25,0.0
load,N_300014408,constant_power_B_real,30896.5,0.0,15448.25,0.0
load,N_300014408,constant_power_C_real,30896.5,0.0,15448.25,0.0
load,N_300014408,constant_power_A_reac,10155.2,0.0,5077.6,0.0
load,N_300014408,constant_power_B_reac,10155.2,0.0,5077.6,0.0
load,N_300014408,constant_power_C_reac,10155.2,0.0,5077.6,0.0
load,N_300084900,constant_power_A,7434.95,2443.75,3717.475,1221.875
load,N_300084900,constant_power_B,7434.95,2443.75,3717.475,1221.875
load,N_300084900,constant_power_C,7434.95,2443.75,3717.475,1221.875
load,N_300084900,constant_power_A_real,7434.95,0.0,3717.475,0.0
load,N_300084900,constant_power_B_real,7434.95,0.0,3717.475,0.0
load,N_300084900,constant_power_C_real,7434.95,0.0,3717.475,0.0
load,N_300084900,constant_power_A_reac,2443.75,0.0,1221.875,0.0
load,N_300084900,constant_power_B_reac,2443.75,0.0,1221.875,0.0
load,N_300084900,constant_power_C_reac,2443.75,0.0,1221.875,0.0
load,N_300084901,constant_power_A,10619.8,3490.57,5309.9,1745.285
load,N_300084901,constant_power_B,10619.8,3490.57,5309.9,1745.285
load,N_300084901,constant_power_C,10619.8,3490.57,5309.9,1745.285
load,N_300084901,constant_power_A_real,10619.8,0.0,5309.9,0.0
load,N_300084901,constant_power_B_real,10619.8,0.0,5309.9,0.0
load,N_300084901,constant_power_C_real,10619.8,0.0,5309.9,0.0
load,N_300084901,constant_power_A_reac,3490.57,0.0,1745.285,0.0
load,N_300084901,constant_power_B_reac,3490.57,0.0,1745.285,0.0
load,N_300084901,constant_power_C_reac,3490.57,0.0,1745.285,0.0
load,N_300084906,constant_power_A,12233.8,4021.05,6116.9,2010.525
load,N_300084906,constant_power_B,12233.8,4021.05,6116.9,2010.525
load,N_300084906,constant_power_A_real,12233.8,0.0,6116.9,0.0
load,N_300084906,constant_power_B_real,12233.8,0.0,6116.9,0.0
load,N_300084906,constant_power_A_reac,4021.05,0.0,2010.525,0.0
load,N_300084906,constant_power_B_reac,4021.05,0.0,2010.525,0.0
load,N_300084907,constant_power_A,1710.79,562.31,855.395,281.155
load,N_300084907,constant_power_B,1710.79,562.31,855.395,281.155
load,N_300084907,constant_power_A_real,1710.79,0.0,855.395,0.0
load,N_300084907,constant_power_B_real,1710.79,0.0,855.395,0.0
load,N_300084907,constant_power_A_reac,562.31,0.0,281.155,0.0
load,N_300084907,constant_power_B_reac,562.31,0.0,281.155,0.0
load,N_300084905,constant_power_A,8303.8,2729.33,4151.9,1364.665
load,N_300084905,constant_power_B,8303.8,2729.33,4151.9,1364.665
load,N_300084905,constant_power_A_real,8303.8,0.0,4151.9,0.0
load,N_300084905,constant_power_B_real,8303.8,0.0,4151.9,0.0
load,N_300084905,constant_power_A_reac,2729.33,0.0,1364.665,0.0
load,N_300084905,constant_power_B_reac,2729.33,0.0,1364.665,0.0
load,N_300084674,constant_power_A,10356.2,3511.97,5178.1,1755.985
load,N_300084674,constant_power_B,10356.2,3511.97,5178.1,1755.985
load,N_300084674,constant_power_C,10356.2,3511.97,5178.1,1755.985
load,N_300084674,constant_power_A_real,10356.2,0.0,5178.1,0.0
load,N_300084674,constant_power_B_real,10356.2,0.0,5178.1,0.0
load,N_300084674,constant_power_C_real,10356.2,0.0,5178.1,0.0
load,N_300084674,constant_power_A_reac,3511.97,0.0,1755.985,0.0
load,N_300084674,constant_power_B_reac,3511.97,0.0,1755.985,0.0
load,N_300084674,constant_power_C_reac,3511.97,0.0,1755.985,0.0
load,N_300084676,constant_power_A,15101.2,4963.54,7550.6,2481.77
load,N_300084676,constant_power_B,15101.2,4963.54,7550.6,2481.77
load,N_300084676,constant_power_C,15101.2,4963.54,7550.6,2481.77
load,N_300084676,constant_power_A_real,15101.2,0.0,7550.6,0.0
load,N_300084676,constant_power_B_real,15101.2,0.0,7550.6,0.0
load,N_300084676,constant_power_C_real,15101.2,0.0,7550.6,0.0
load,N_300084676,constant_power_A_reac,4963.54,0.0,2481.77,0.0
load,N_300084676,constant_power_B_reac,4963.54,0.0,2481.77,0.0
load,N_300084676,constant_power_C_reac,4963.54,0.0,2481.77,0.0
load,N_300084677,constant_power_A,12201.5,4010.44,6100.75,2005.22
load,N_300084677,constant_power_B,12201.5,4010.44,6100.75,2005.22
load,N_300084677,constant_power_A_real,12201.5,0.0,6100.75,0.0
load,N_300084677,constant_power_B_real,12201.5,0.0,6100.75,0.0
load,N_300084677,constant_power_A_reac,4010.44,0.0,2005.22,0.0
load,N_300084677,constant_power_B_reac,4010.44,0.0,2005.22,0.0
load,N_300084670,constant_power_A,29707.5,9806.67,14853.75,4903.335
load,N_300084670,constant_power_B,29707.5,9806.67,14853.75,4903.335
load,N_300084670,constant_power_C,29707.5,9806.67,14853.75,4903.335
load,N_300084670,constant_power_A_real,29707.5,0.0,14853.75,0.0
load,N_300084670,constant_power_B_real,29707.5,0.0,14853.75,0.0
load,N_300084670,constant_power_C_real,29707.5,0.0,14853.75,0.0
load,N_300084670,constant_power_A_reac,9806.67,0.0,4903.335,0.0
load,N_300084670,constant_power_B_reac,9806.67,0.0,4903.335,0.0
load,N_300084670,constant_power_C_reac,9806.67,0.0,4903.335,0.0
load,N_300084672,constant_power_A,7085.27,2328.81,3542.635,1164.405
load,N_300084672,constant_power_B,7085.27,2328.81,3542.635,1164.405
load,N_300084672,constant_power_A_real,7085.27,0.0,3542.635,0.0
load,N_300084672,constant_power_B_real,7085.27,0.0,3542.635,0.0
load,N_300084672,constant_power_A_reac,2328.81,0.0,1164.405,0.0
load,N_300084672,constant_power_B_reac,2328.81,0.0,1164.405,0.0
load,N_300084673,constant_power_A,19068.9,6267.64,9534.45,3133.82
load,N_300084673,constant_power_B,19068.9,6267.64,9534.45,3133.82
load,N_300084673,constant_power_A_real,19068.9,0.0,9534.45,0.0
load,N_300084673,constant_power_B_real,19068.9,0.0,9534.45,0.0
load,N_300084673,constant_power_A_reac,6267.64,0.0,3133.82,0.0
load,N_300084673,constant_power_B_reac,6267.64,0.0,3133.82,0.0
load,N_300084775,constant_power_A,2671.1,877.947,1335.55,438.9735
load,N_300084775,constant_power_B,2671.1,877.947,1335.55,438.9735
load,N_300084775,constant_power_A_real,2671.1,0.0,1335.55,0.0
load,N_300084775,constant_power_B_real,2671.1,0.0,1335.55,0.0
load,N_300084775,constant_power_A_reac,877.947,0.0,438.9735,0.0
load,N_300084775,constant_power_B_reac,877.947,0.0,438.9735,0.0
load,N_300015564,constant_power_A,42333.3,26235.8,21166.65,13117.9
load,N_300015564,constant_power_B,42333.3,26235.8,21166.65,13117.9
load,N_300015564,constant_power_C,42333.3,26235.8,21166.65,13117.9
load,N_300015564,constant_power_A_real,42333.3,0.0,21166.65,0.0
load,N_300015564,constant_power_B_real,42333.3,0.0,21166.65,0.0
load,N_300015564,constant_power_C_real,42333.3,0.0,21166.65,0.0
load,N_300015564,constant_power_A_reac,26235.8,0.0,13117.9,0.0
load,N_300015564,constant_power_B_reac,26235.8,0.0,13117.9,0.0
load,N_300015564,constant_power_C_reac,26235.8,0.0,13117.9,0.0
load,N_300084776,constant_power_A,10006.5,3288.99,5003.25,1644.495
load,N_300084776,constant_power_B,10006.5,3288.99,5003.25,1644.495
load,N_300084776,constant_power_C,10006.5,3288.99,5003.25,1644.495
load,N_300084776,constant_power_A_real,10006.5,0.0,5003.25,0.0
load,N_300084776,constant_power_B_real,10006.5,0.0,5003.25,0.0
load,N_300084776,constant_power_C_real,10006.5,0.0,5003.25,0.0
