class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,N_1200071901,constant_power_A,6404.48,3969.14,3202.24,1984.57
load,N_1200071901,constant_power_B,6404.48,3969.14,3202.24,1984.57
load,N_1200071901,constant_power_C,6404.48,3969.14,3202.24,1984.57
load,N_1200071901,constant_power_A_real,6404.48,0.0,3202.24,0.0
load,N_1200071901,constant_power_B_real,6404.48,0.0,3202.24,0.0
load,N_1200071901,constant_power_C_real,6404.48,0.0,3202.24,0.0
load,N_1200071901,constant_power_A_reac,3969.14,0.0,1984.57,0.0
load,N_1200071901,constant_power_B_reac,3969.14,0.0,1984.57,0.0
load,N_1200071901,constant_power_C_reac,3969.14,0.0,1984.57,0.0
load,N_1200071900,constant_power_A,1387.69,456.112,693.845,228.056
load,N_1200071900,constant_power_B,1387.69,456.112,693.845,228.056
load,N_1200071900,constant_power_C,1387.69,456.112,693.845,228.056
load,N_1200071900,constant_power_A_real,1387.69,0.0,693.845,0.0
load,N_1200071900,constant_power_B_real,1387.69,0.0,693.845,0.0
load,N_1200071900,constant_power_C_real,1387.69,0.0,693.845,0.0
load,N_1200071900,constant_power_A_reac,456.112,0.0,228.056,0.0
load,N_1200071900,constant_power_B_reac,456.112,0.0,228.056,0.0
load,N_1200071900,constant_power_C_reac,456.112,0.0,228.056,0.0
load,N_1200160276,constant_power_A,2004.8,888.815,1002.4,444.4075
load,N_1200160276,constant_power_B,2004.8,888.815,1002.4,444.4075
load,N_1200160276,constant_power_C,2004.8,888.815,1002.4,444.4075
load,N_1200160276,constant_power_A_real,2004.8,0.0,1002.4,0.0
load,N_1200160276,constant_power_B_real,2004.8,0.0,1002.4,0.0
load,N_1200160276,constant_power_C_real,2004.8,0.0,1002.4,0.0
load,N_1200160276,constant_power_A_reac,888.815,0.0,444.4075,0.0
load,N_1200160276,constant_power_B_reac,888.815,0.0,444.4075,0.0
load,N_1200160276,constant_power_C_reac,888.815,0.0,444.4075,0.0
load,N_1200175328,constant_power_A,16057.6,5277.87,8028.8,2638.935
load,N_1200175328,constant_power_B,16057.6,5277.87,8028.8,2638.935
load,N_1200175328,constant_power_C,16057.6,5277.87,8028.8,2638.935
load,N_1200175328,constant_power_A_real,16057.6,0.0,8028.8,0.0
load,N_1200175328,constant_power_B_real,16057.6,0.0,8028.8,0.0
load,N_1200175328,constant_power_C_real,16057.6,0.0,8028.8,0.0
load,N_1200175328,constant_power_A_reac,5277.87,0.0,2638.935,0.0
load,N_1200175328,constant_power_B_reac,5277.87,0.0,2638.935,0.0
load,N_1200175328,constant_power_C_reac,5277.87,0.0,2638.935,0.0
load,N_1200030909,constant_power_A,639.489,210.19,319.7445,105.095
load,N_1200030909,constant_power_B,639.489,210.19,319.7445,105.095
load,N_1200030909,constant_power_C,639.489,210.19,319.7445,105.095
load,N_1200030909,constant_power_A_real,639.489,0.0,319.7445,0.0
load,N_1200030909,constant_power_B_real,639.489,0.0,319.7445,0.0
load,N_1200030909,constant_power_C_real,639.489,0.0,319.7445,0.0
load,N_1200030909,constant_power_A_reac,210.19,0.0,105.095,0.0
load,N_1200030909,constant_power_B_reac,210.19,0.0,105.095,0.0
load,N_1200030909,constant_power_C_reac,210.19,0.0,105.095,0.0
load,N_1200086026,constant_power_A,6167.87,2027.28,3083.935,1013.64
load,N_1200086026,constant_power_B,6167.87,2027.28,3083.935,1013.64
load,N_1200086026,constant_power_C,6167.87,2027.28,3083.935,1013.64
load,N_1200086026,constant_power_A_real,6167.87,0.0,3083.935,0.0
load,N_1200086026,constant_power_B_real,6167.87,0.0,3083.935,0.0
load,N_1200086026,constant_power_C_real,6167.87,0.0,3083.935,0.0
load,N_1200086026,constant_power_A_reac,2027.28,0.0,1013.64,0.0
load,N_1200086026,constant_power_B_reac,2027.28,0.0,1013.64,0.0
load,N_1200086026,constant_power_C_reac,2027.28,0.0,1013.64,0.0
load,N_1200086027,constant_power_A,1685.05,553.85,842.525,276.925
load,N_1200086027,constant_power_B,1685.05,553.85,842.525,276.925
load,N_1200086027,constant_power_C,1685.05,553.85,842.525,276.925
load,N_1200086027,constant_power_A_real,1685.05,0.0,842.525,0.0
load,N_1200086027,constant_power_B_real,1685.05,0.0,842.525,0.0
load,N_1200086027,constant_power_C_real,1685.05,0.0,842.525,0.0
load,N_1200086027,constant_power_A_reac,553.85,0.0,276.925,0.0
load,N_1200086027,constant_power_B_reac,553.85,0.0,276.925,0.0
load,N_1200086027,constant_power_C_reac,553.85,0.0,276.925,0.0
load,N_1200086028,constant_power_A,8207.84,2697.79,4103.92,1348.895
load,N_1200086028,constant_power_B,8207.84,2697.79,4103.92,1348.895
load,N_1200086028,constant_power_C,8207.84,2697.79,4103.92,1348.895
load,N_1200086028,constant_power_A_real,8207.84,0.0,4103.92,0.0
load,N_1200086028,constant_power_B_real,8207.84,0.0,4103.92,0.0
load,N_1200086028,constant_power_C_real,8207.84,0.0,4103.92,0.0
load,N_1200086028,constant_power_A_reac,2697.79,0.0,1348.895,0.0
load,N_1200086028,constant_power_B_reac,2697.79,0.0,1348.895,0.0
load,N_1200086028,constant_power_C_reac,2697.79,0.0,1348.895,0.0
load,N_1200160204,constant_power_A,754.597,248.024,377.2985,124.012
load,N_1200160204,constant_power_B,754.597,248.024,377.2985,124.012
load,N_1200160204,constant_power_C,754.597,248.024,377.2985,124.012
load,N_1200160204,constant_power_A_real,754.597,0.0,377.2985,0.0
load,N_1200160204,constant_power_B_real,754.597,0.0,377.2985,0.0
load,N_1200160204,constant_power_C_real,754.597,0.0,377.2985,0.0
load,N_1200160204,constant_power_A_reac,248.024,0.0,124.012,0.0
load,N_1200160204,constant_power_B_reac,248.024,0.0,124.012,0.0
load,N_1200160204,constant_power_C_reac,248.024,0.0,124.012,0.0
load,N_1200160264,constant_power_A,303.757,99.8402,151.8785,49.9201
load,N_1200160264,constant_power_B,303.757,99.8402,151.8785,49.9201
load,N_1200160264,constant_power_C,303.757,99.8402,151.8785,49.9201
load,N_1200160264,constant_power_A_real,303.757,0.0,151.8785,0.0
load,N_1200160264,constant_power_B_real,303.757,0.0,151.8785,0.0
load,N_1200160264,constant_power_C_real,303.757,0.0,151.8785,0.0
load,N_1200160264,constant_power_A_reac,99.8402,0.0,49.9201,0.0
load,N_1200160264,constant_power_B_reac,99.8402,0.0,49.9201,0.0
load,N_1200160264,constant_power_C_reac,99.8402,0.0,49.9201,0.0
load,N_1200057348,constant_power_A,21443.7,7048.19,10721.85,3524.095
load,N_1200057348,constant_power_B,21443.7,7048.19,10721.85,3524.095
load,N_1200057348,constant_power_A_real,21443.7,0.0,10721.85,0.0
load,N_1200057348,constant_power_B_real,21443.7,0.0,10721.85,0.0
load,N_1200057348,constant_power_A_reac,7048.19,0.0,3524.095,0.0
load,N_1200057348,constant_power_B_reac,7048.19,0.0,3524.095,0.0
load,N_1200460860,constant_power_A,1432.45,887.756,716.225,443.878
load,N_1200460860,constant_power_B,1432.45,887.756,716.225,443.878
load,N_1200460860,constant_power_C,1432.45,887.756,716.225,443.878
load,N_1200460860,constant_power_A_real,1432.45,0.0,716.225,0.0
load,N_1200460860,constant_power_B_real,1432.45,0.0,716.225,0.0
load,N_1200460860,constant_power_C_real,1432.45,0.0,716.225,0.0
load,N_1200460860,constant_power_A_reac,887.756,0.0,443.878,0.0
load,N_1200460860,constant_power_B_reac,887.756,0.0,443.878,0.0
load,N_1200460860,constant_power_C_reac,887.756,0.0,443.878,0.0
load,N_1200111861,constant_power_A,22460.4,7382.39,11230.2,3691.195
load,N_1200111861,constant_power_B,22460.4,7382.39,11230.2,3691.195
load,N_1200111861,constant_power_A_real,22460.4,0.0,11230.2,0.0
load,N_1200111861,constant_power_B_real,22460.4,0.0,11230.2,0.0
load,N_1200111861,constant_power_A_reac,7382.39,0.0,3691.195,0.0
load,N_1200111861,constant_power_B_reac,7382.39,0.0,3691.195,0.0
load,N_1200111860,constant_power_A,15287.0,5024.59,7643.5,2512.295
load,N_1200111860,constant_power_B,15287.0,5024.59,7643.5,2512.295
load,N_1200111860,constant_power_C,15287.0,5024.59,7643.5,2512.295
load,N_1200111860,constant_power_A_real,15287.0,0.0,7643.5,0.0
load,N_1200111860,constant_power_B_real,15287.0,0.0,7643.5,0.0
load,N_1200111860,constant_power_C_real,15287.0,0.0,7643.5,0.0
load,N_1200111860,constant_power_A_reac,5024.59,0.0,2512.295,0.0
load,N_1200111860,constant_power_B_reac,5024.59,0.0,2512.295,0.0
load,N_1200111860,constant_power_C_reac,5024.59,0.0,2512.295,0.0
load,N_1200160251,constant_power_A,4015.99,2190.15,2007.995,1095.075
load,N_1200160251,constant_power_B,4015.99,2190.15,2007.995,1095.075
load,N_1200160251,constant_power_C,4015.99,2190.15,2007.995,1095.075
load,N_1200160251,constant_power_A_real,4015.99,0.0,2007.995,0.0
load,N_1200160251,constant_power_B_real,4015.99,0.0,2007.995,0.0
load,N_1200160251,constant_power_C_real,4015.99,0.0,2007.995,0.0
load,N_1200160251,constant_power_A_reac,2190.15,0.0,1095.075,0.0
load,N_1200160251,constant_power_B_reac,2190.15,0.0,1095.075,0.0
load,N_1200160251,constant_power_C_reac,2190.15,0.0,1095.075,0.0
load,N_1200160315,constant_power_A,265.388,164.473,132.694,82.2365
load,N_1200160315,constant_power_B,265.388,164.473,132.694,82.2365
load,N_1200160315,constant_power_C,265.388,164.473,132.694,82.2365
load,N_1200160315,constant_power_A_real,265.388,0.0,132.694,0.0
load,N_1200160315,constant_power_B_real,265.388,0.0,132.694,0.0
load,N_1200160315,constant_power_C_real,265.388,0.0,132.694,0.0
load,N_1200160315,constant_power_A_reac,164.473,0.0,82.2365,0.0
load,N_1200160315,constant_power_B_reac,164.473,0.0,82.2365,0.0
load,N_1200160315,constant_power_C_reac,164.473,0.0,82.2365,0.0
load,N_1200111324,constant_power_A,7811.36,2567.47,3905.68,1283.735
