class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,R2-12-47-2_load_1,constant_power_A,99926.9,81192.0,49963.45,40596.0
load,R2-12-47-2_load_1,constant_power_B,90146.7,69095.9,45073.35,34547.95
load,R2-12-47-2_load_1,constant_power_C,88901.9,63581.1,44450.95,31790.55
load,R2-12-47-2_load_1,constant_power_A_real,99926.9,0.0,49963.45,0.0
load,R2-12-47-2_load_1,constant_power_B_real,90146.7,0.0,45073.35,0.0
load,R2-12-47-2_load_1,constant_power_C_real,88901.9,0.0,44450.95,0.0
load,R2-12-47-2_load_1,constant_power_A_reac,81192.0,0.0,40596.0,0.0
load,R2-12-47-2_load_1,constant_power_B_reac,69095.9,0.0,34547.95,0.0
load,R2-12-47-2_load_1,constant_power_C_reac,63581.1,0.0,31790.55,0.0
load,R2-12-47-2_load_2,constant_power_A,59954.9,48714.2,29977.45,24357.1
load,R2-12-47-2_load_2,constant_power_B,54086.9,41456.7,27043.45,20728.35
load,R2-12-47-2_load_2,constant_power_C,53340.0,38147.9,26670.0,19073.95
load,R2-12-47-2_load_2,constant_power_A_real,59954.9,0.0,29977.45,0.0
load,R2-12-47-2_load_2,constant_power_B_real,54086.9,0.0,27043.45,0.0
load,R2-12-47-2_load_2,constant_power_C_real,53340.0,0.0,26670.0,0.0
load,R2-12-47-2_load_2,constant_power_A_reac,48714.2,0.0,24357.1,0.0
load,R2-12-47-2_load_2,constant_power_B_reac,41456.7,0.0,20728.35,0.0
load,R2-12-47-2_load_2,constant_power_C_reac,38147.9,0.0,19073.95,0.0
load,R2-12-47-2_load_3,constant_power_A,8993.24,7307.13,4496.62,3653.565
load,R2-12-47-2_load_3,constant_power_B,13521.7,10364.2,6760.85,5182.1
load,R2-12-47-2_load_3,constant_power_C,8001.01,5722.19,4000.505,2861.095
load,R2-12-47-2_load_3,constant_power_A_real,8993.24,0.0,4496.62,0.0
load,R2-12-47-2_load_3,constant_power_B_real,13521.7,0.0,6760.85,0.0
load,R2-12-47-2_load_3,constant_power_C_real,8001.01,0.0,4000.505,0.0
load,R2-12-47-2_load_3,constant_power_A_reac,7307.13,0.0,3653.565,0.0
load,R2-12-47-2_load_3,constant_power_B_reac,10364.2,0.0,5182.1,0.0
load,R2-12-47-2_load_3,constant_power_C_reac,5722.19,0.0,2861.095,0.0
load,R2-12-47-2_load_4,constant_power_A,29977.5,24357.1,14988.75,12178.55
load,R2-12-47-2_load_4,constant_power_B,27043.5,20728.3,13521.75,10364.15
load,R2-12-47-2_load_4,constant_power_C,26670.0,19074.0,13335.0,9537.0
load,R2-12-47-2_load_4,constant_power_A_real,29977.5,0.0,14988.75,0.0
load,R2-12-47-2_load_4,constant_power_B_real,27043.5,0.0,13521.75,0.0
load,R2-12-47-2_load_4,constant_power_C_real,26670.0,0.0,13335.0,0.0
load,R2-12-47-2_load_4,constant_power_A_reac,24357.1,0.0,12178.55,0.0
load,R2-12-47-2_load_4,constant_power_B_reac,20728.3,0.0,10364.15,0.0
load,R2-12-47-2_load_4,constant_power_C_reac,19074.0,0.0,9537.0,0.0
load,R2-12-47-2_load_5,constant_power_A,29977.5,24357.1,14988.75,12178.55
load,R2-12-47-2_load_5,constant_power_B,27043.5,20728.3,13521.75,10364.15
load,R2-12-47-2_load_5,constant_power_C,26670.0,19074.0,13335.0,9537.0
load,R2-12-47-2_load_5,constant_power_A_real,29977.5,0.0,14988.75,0.0
load,R2-12-47-2_load_5,constant_power_B_real,27043.5,0.0,13521.75,0.0
load,R2-12-47-2_load_5,constant_power_C_real,26670.0,0.0,13335.0,0.0
load,R2-12-47-2_load_5,constant_power_A_reac,24357.1,0.0,12178.55,0.0
load,R2-12-47-2_load_5,constant_power_B_reac,20728.3,0.0,10364.15,0.0
load,R2-12-47-2_load_5,constant_power_C_reac,19074.0,0.0,9537.0,0.0
load,R2-12-47-2_load_6,constant_power_C,26670.0,19074.0,13335.0,9537.0
load,R2-12-47-2_load_6,constant_power_C_real,26670.0,0.0,13335.0,0.0
load,R2-12-47-2_load_6,constant_power_C_reac,19074.0,0.0,9537.0,0.0
load,R2-12-47-2_load_7,constant_power_A,14988.7,12178.6,7494.35,6089.3
load,R2-12-47-2_load_7,constant_power_B,27043.5,20728.3,13521.75,10364.15
load,R2-12-47-2_load_7,constant_power_C,13335.0,9536.98,6667.5,4768.49
load,R2-12-47-2_load_7,constant_power_A_real,14988.7,0.0,7494.35,0.0
load,R2-12-47-2_load_7,constant_power_B_real,27043.5,0.0,13521.75,0.0
load,R2-12-47-2_load_7,constant_power_C_real,13335.0,0.0,6667.5,0.0
load,R2-12-47-2_load_7,constant_power_A_reac,12178.6,0.0,6089.3,0.0
load,R2-12-47-2_load_7,constant_power_B_reac,20728.3,0.0,10364.15,0.0
load,R2-12-47-2_load_7,constant_power_C_reac,9536.98,0.0,4768.49,0.0
load,R2-12-47-2_load_8,constant_power_A,80939.2,65764.2,40469.6,32882.1
load,R2-12-47-2_load_8,constant_power_B,73017.3,55966.5,36508.65,27983.25
load,R2-12-47-2_load_8,constant_power_C,72009.1,51499.7,36004.55,25749.85
load,R2-12-47-2_load_8,constant_power_A_real,80939.2,0.0,40469.6,0.0
load,R2-12-47-2_load_8,constant_power_B_real,73017.3,0.0,36508.65,0.0
load,R2-12-47-2_load_8,constant_power_C_real,72009.1,0.0,36004.55,0.0
load,R2-12-47-2_load_8,constant_power_A_reac,65764.2,0.0,32882.1,0.0
load,R2-12-47-2_load_8,constant_power_B_reac,55966.5,0.0,27983.25,0.0
load,R2-12-47-2_load_8,constant_power_C_reac,51499.7,0.0,25749.85,0.0
