load,solar_capacity[kW]
substation_meter,7.6
load_1,
load_2,
load_4,
load_5,
load_6,
load_7,
load_9,
load_10,
load_11,
load_12,
load_16,
load_17,
load_19,
load_20,
load_22,
load_24,
load_28,
load_29,
load_30,
load_31,
load_32,
load_33,
load_34,
load_35,
load_37,
load_38,
load_39,
load_41,
load_42,
load_43,
load_45,
load_46,
load_47,
load_48,
load_49,
load_50,
load_51,
load_52,
load_53,
load_55,
load_56,
load_58,
load_59,
load_60,
load_62,
load_63,
load_64,
load_65,
load_66,
load_68,
load_69,
load_70,
load_71,
load_73,
load_74,
load_75,
load_76,
load_77,
load_79,
load_80,
load_82,
load_83,
load_84,
load_85,
load_86,
load_87,
load_88,
load_90,
load_92,
load_94,
load_95,
load_96,
load_98,
load_99,
load_100,
load_102,
load_103,
load_104,
load_106,
load_107,
load_109,
load_111,
load_112,
load_113,
load_114,
