class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,801,constant_power_A,140000.0,70000.0,70000.0,35000.0
load,801,constant_power_B,140000.0,70000.0,70000.0,35000.0
load,801,constant_power_C,350000.0,175000.0,175000.0,87500.0
load,801,constant_power_A_real,140000.0,0.0,70000.0,0.0
load,801,constant_power_B_real,140000.0,0.0,70000.0,0.0
load,801,constant_power_C_real,350000.0,0.0,175000.0,0.0
load,801,constant_power_A_reac,70000.0,0.0,35000.0,0.0
load,801,constant_power_B_reac,70000.0,0.0,35000.0,0.0
load,801,constant_power_C_reac,175000.0,0.0,87500.0,0.0
load,812,constant_power_C,85000.0,40000.0,42500.0,20000.0
load,812,constant_power_C_real,85000.0,0.0,42500.0,0.0
load,812,constant_power_C_reac,40000.0,0.0,20000.0,0.0
load,813,constant_power_C,85000.0,40000.0,42500.0,20000.0
load,813,constant_power_C_real,85000.0,0.0,42500.0,0.0
load,813,constant_power_C_reac,40000.0,0.0,20000.0,0.0
load,820,constant_power_C,85000.0,40000.0,42500.0,20000.0
load,820,constant_power_C_real,85000.0,0.0,42500.0,0.0
load,820,constant_power_C_reac,40000.0,0.0,20000.0,0.0
load,825,constant_power_B,42000.0,21000.0,21000.0,10500.0
load,825,constant_power_B_real,42000.0,0.0,21000.0,0.0
load,825,constant_power_B_reac,21000.0,0.0,10500.0,0.0
load,827,constant_power_C,42000.0,21000.0,21000.0,10500.0
load,827,constant_power_C_real,42000.0,0.0,21000.0,0.0
load,827,constant_power_C_reac,21000.0,0.0,10500.0,0.0
load,828,constant_power_A,42000.0,21000.0,21000.0,10500.0
load,828,constant_power_B,42000.0,21000.0,21000.0,10500.0
load,828,constant_power_C,42000.0,21000.0,21000.0,10500.0
load,828,constant_power_A_real,42000.0,0.0,21000.0,0.0
load,828,constant_power_B_real,42000.0,0.0,21000.0,0.0
load,828,constant_power_C_real,42000.0,0.0,21000.0,0.0
load,828,constant_power_A_reac,21000.0,0.0,10500.0,0.0
load,828,constant_power_B_reac,21000.0,0.0,10500.0,0.0
load,828,constant_power_C_reac,21000.0,0.0,10500.0,0.0
load,832,constant_power_C,42000.0,21000.0,21000.0,10500.0
load,832,constant_power_C_real,42000.0,0.0,21000.0,0.0
load,832,constant_power_C_reac,21000.0,0.0,10500.0,0.0
load,834,constant_power_C,42000.0,21000.0,21000.0,10500.0
load,834,constant_power_C_real,42000.0,0.0,21000.0,0.0
load,834,constant_power_C_reac,21000.0,0.0,10500.0,0.0
load,835,constant_power_C,85000.0,40000.0,42500.0,20000.0
load,835,constant_power_C_real,85000.0,0.0,42500.0,0.0
load,835,constant_power_C_reac,40000.0,0.0,20000.0,0.0
load,838,constant_power_A,126000.0,62000.0,63000.0,31000.0
load,838,constant_power_A_real,126000.0,0.0,63000.0,0.0
load,838,constant_power_A_reac,62000.0,0.0,31000.0,0.0
load,840,constant_power_C,85000.0,40000.0,42500.0,20000.0
load,840,constant_power_C_real,85000.0,0.0,42500.0,0.0
load,840,constant_power_C_reac,40000.0,0.0,20000.0,0.0
load,844,constant_power_A,42000.0,21000.0,21000.0,10500.0
load,844,constant_power_A_real,42000.0,0.0,21000.0,0.0
load,844,constant_power_A_reac,21000.0,0.0,10500.0,0.0
