class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,N_900030148,constant_power_A,58968.2,19381.9,29484.1,9690.95
load,N_900030148,constant_power_A_real,58968.2,0.0,29484.1,0.0
load,N_900030148,constant_power_A_reac,19381.9,0.0,9690.95,0.0
load,N_900054242,constant_power_B,722.975,237.63,361.4875,118.815
load,N_900054242,constant_power_C,722.975,237.63,361.4875,118.815
load,N_900054242,constant_power_B_real,722.975,0.0,361.4875,0.0
load,N_900054242,constant_power_C_real,722.975,0.0,361.4875,0.0
load,N_900054242,constant_power_B_reac,237.63,0.0,118.815,0.0
load,N_900054242,constant_power_C_reac,237.63,0.0,118.815,0.0
load,N_900054240,constant_power_B,3074.72,1013.03,1537.36,506.515
load,N_900054240,constant_power_C,3074.72,1013.03,1537.36,506.515
load,N_900054240,constant_power_B_real,3074.72,0.0,1537.36,0.0
load,N_900054240,constant_power_C_real,3074.72,0.0,1537.36,0.0
load,N_900054240,constant_power_B_reac,1013.03,0.0,506.515,0.0
load,N_900054240,constant_power_C_reac,1013.03,0.0,506.515,0.0
load,N_900054246,constant_power_B,556.774,183.003,278.387,91.5015
load,N_900054246,constant_power_C,556.774,183.003,278.387,91.5015
load,N_900054246,constant_power_B_real,556.774,0.0,278.387,0.0
load,N_900054246,constant_power_C_real,556.774,0.0,278.387,0.0
load,N_900054246,constant_power_B_reac,183.003,0.0,91.5015,0.0
load,N_900054246,constant_power_C_reac,183.003,0.0,91.5015,0.0
load,N_900059269,constant_power_B,24.93,15.4502,12.465,7.7251
load,N_900059269,constant_power_C,24.93,15.4502,12.465,7.7251
load,N_900059269,constant_power_B_real,24.93,0.0,12.465,0.0
load,N_900059269,constant_power_C_real,24.93,0.0,12.465,0.0
load,N_900059269,constant_power_B_reac,15.4502,0.0,7.7251,0.0
load,N_900059269,constant_power_C_reac,15.4502,0.0,7.7251,0.0
load,N_900054244,constant_power_B,972.277,319.572,486.1385,159.786
load,N_900054244,constant_power_C,972.277,319.572,486.1385,159.786
load,N_900054244,constant_power_B_real,972.277,0.0,486.1385,0.0
load,N_900054244,constant_power_C_real,972.277,0.0,486.1385,0.0
load,N_900054244,constant_power_B_reac,319.572,0.0,159.786,0.0
load,N_900054244,constant_power_C_reac,319.572,0.0,159.786,0.0
load,N_900034569,constant_power_B,814.386,267.676,407.193,133.838
load,N_900034569,constant_power_C,814.386,267.676,407.193,133.838
load,N_900034569,constant_power_B_real,814.386,0.0,407.193,0.0
load,N_900034569,constant_power_C_real,814.386,0.0,407.193,0.0
load,N_900034569,constant_power_B_reac,267.676,0.0,133.838,0.0
load,N_900034569,constant_power_C_reac,267.676,0.0,133.838,0.0
load,N_900055531,constant_power_C,166.201,54.6276,83.1005,27.3138
load,N_900055531,constant_power_C_real,166.201,0.0,83.1005,0.0
load,N_900055531,constant_power_C_reac,54.6276,0.0,27.3138,0.0
load,N_900055537,constant_power_C,2875.28,945.059,1437.64,472.5295
load,N_900055537,constant_power_C_real,2875.28,0.0,1437.64,0.0
load,N_900055537,constant_power_C_reac,945.059,0.0,472.5295,0.0
load,N_900055535,constant_power_C,3157.82,1037.93,1578.91,518.965
load,N_900055535,constant_power_C_real,3157.82,0.0,1578.91,0.0
load,N_900055535,constant_power_C_reac,1037.93,0.0,518.965,0.0
load,N_900002018,constant_power_A,1695.25,557.202,847.625,278.601
load,N_900002018,constant_power_B,1695.25,557.202,847.625,278.601
load,N_900002018,constant_power_A_real,1695.25,0.0,847.625,0.0
load,N_900002018,constant_power_B_real,1695.25,0.0,847.625,0.0
load,N_900002018,constant_power_A_reac,557.202,0.0,278.601,0.0
load,N_900002018,constant_power_B_reac,557.202,0.0,278.601,0.0
load,N_900007174,constant_power_B,1894.69,622.755,947.345,311.3775
load,N_900007174,constant_power_C,1894.69,622.755,947.345,311.3775
load,N_900007174,constant_power_B_real,1894.69,0.0,947.345,0.0
load,N_900007174,constant_power_C_real,1894.69,0.0,947.345,0.0
load,N_900007174,constant_power_B_reac,622.755,0.0,311.3775,0.0
load,N_900007174,constant_power_C_reac,622.755,0.0,311.3775,0.0
load,N_900060773,constant_power_A,6265.78,2059.46,3132.89,1029.73
load,N_900060773,constant_power_B,6265.78,2059.46,3132.89,1029.73
load,N_900060773,constant_power_A_real,6265.78,0.0,3132.89,0.0
load,N_900060773,constant_power_B_real,6265.78,0.0,3132.89,0.0
load,N_900060773,constant_power_A_reac,2059.46,0.0,1029.73,0.0
load,N_900060773,constant_power_B_reac,2059.46,0.0,1029.73,0.0
load,N_900080826,constant_power_A,7412.57,2436.39,3706.285,1218.195
load,N_900080826,constant_power_B,7412.57,2436.39,3706.285,1218.195
load,N_900080826,constant_power_A_real,7412.57,0.0,3706.285,0.0
load,N_900080826,constant_power_B_real,7412.57,0.0,3706.285,0.0
load,N_900080826,constant_power_A_reac,2436.39,0.0,1218.195,0.0
load,N_900080826,constant_power_B_reac,2436.39,0.0,1218.195,0.0
load,N_900012899,constant_power_A,2285.27,751.131,1142.635,375.5655
load,N_900012899,constant_power_B,2285.27,751.131,1142.635,375.5655
load,N_900012899,constant_power_A_real,2285.27,0.0,1142.635,0.0
load,N_900012899,constant_power_B_real,2285.27,0.0,1142.635,0.0
load,N_900012899,constant_power_A_reac,751.131,0.0,375.5655,0.0
load,N_900012899,constant_power_B_reac,751.131,0.0,375.5655,0.0
load,N_900059587,constant_power_A,8708.94,2862.49,4354.47,1431.245
load,N_900059587,constant_power_B,8708.94,2862.49,4354.47,1431.245
load,N_900059587,constant_power_C,8708.94,2862.49,4354.47,1431.245
load,N_900059587,constant_power_A_real,8708.94,0.0,4354.47,0.0
load,N_900059587,constant_power_B_real,8708.94,0.0,4354.47,0.0
load,N_900059587,constant_power_C_real,8708.94,0.0,4354.47,0.0
load,N_900059587,constant_power_A_reac,2862.49,0.0,1431.245,0.0
load,N_900059587,constant_power_B_reac,2862.49,0.0,1431.245,0.0
load,N_900059587,constant_power_C_reac,2862.49,0.0,1431.245,0.0
load,N_900059165,constant_power_B,5010.97,1671.21,2505.485,835.605
load,N_900059165,constant_power_C,5010.97,1671.21,2505.485,835.605
load,N_900059165,constant_power_B_real,5010.97,0.0,2505.485,0.0
load,N_900059165,constant_power_C_real,5010.97,0.0,2505.485,0.0
load,N_900059165,constant_power_B_reac,1671.21,0.0,835.605,0.0
load,N_900059165,constant_power_C_reac,1671.21,0.0,835.605,0.0
load,N_900032807,constant_power_A,4709.03,2918.4,2354.515,1459.2
load,N_900032807,constant_power_B,4709.03,2918.4,2354.515,1459.2
load,N_900032807,constant_power_C,4709.03,2918.4,2354.515,1459.2
load,N_900032807,constant_power_A_real,4709.03,0.0,2354.515,0.0
load,N_900032807,constant_power_B_real,4709.03,0.0,2354.515,0.0
load,N_900032807,constant_power_C_real,4709.03,0.0,2354.515,0.0
load,N_900032807,constant_power_A_reac,2918.4,0.0,1459.2,0.0
load,N_900032807,constant_power_B_reac,2918.4,0.0,1459.2,0.0
load,N_900032807,constant_power_C_reac,2918.4,0.0,1459.2,0.0
load,N_900059249,constant_power_B,4221.51,1387.54,2110.755,693.77
