class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,N_1100017199,constant_power_A,7899.31,2596.38,3949.655,1298.19
load,N_1100017199,constant_power_B,7899.31,2596.38,3949.655,1298.19
load,N_1100017199,constant_power_A_real,7899.31,0.0,3949.655,0.0
load,N_1100017199,constant_power_B_real,7899.31,0.0,3949.655,0.0
load,N_1100017199,constant_power_A_reac,2596.38,0.0,1298.19,0.0
load,N_1100017199,constant_power_B_reac,2596.38,0.0,1298.19,0.0
load,N_1100041120,constant_power_A,11038.8,3628.27,5519.4,1814.135
load,N_1100041120,constant_power_B,11038.8,3628.27,5519.4,1814.135
load,N_1100041120,constant_power_C,11038.8,3628.27,5519.4,1814.135
load,N_1100041120,constant_power_A_real,11038.8,0.0,5519.4,0.0
load,N_1100041120,constant_power_B_real,11038.8,0.0,5519.4,0.0
load,N_1100041120,constant_power_C_real,11038.8,0.0,5519.4,0.0
load,N_1100041120,constant_power_A_reac,3628.27,0.0,1814.135,0.0
load,N_1100041120,constant_power_B_reac,3628.27,0.0,1814.135,0.0
load,N_1100041120,constant_power_C_reac,3628.27,0.0,1814.135,0.0
load,N_1100006161,constant_power_A,4990.74,1640.38,2495.37,820.19
load,N_1100006161,constant_power_B,4990.74,1640.38,2495.37,820.19
load,N_1100006161,constant_power_C,4990.74,1640.38,2495.37,820.19
load,N_1100006161,constant_power_A_real,4990.74,0.0,2495.37,0.0
load,N_1100006161,constant_power_B_real,4990.74,0.0,2495.37,0.0
load,N_1100006161,constant_power_C_real,4990.74,0.0,2495.37,0.0
load,N_1100006161,constant_power_A_reac,1640.38,0.0,820.19,0.0
load,N_1100006161,constant_power_B_reac,1640.38,0.0,820.19,0.0
load,N_1100006161,constant_power_C_reac,1640.38,0.0,820.19,0.0
load,N_1100080115,constant_power_A,18356.8,6033.58,9178.4,3016.79
load,N_1100080115,constant_power_B,18356.8,6033.58,9178.4,3016.79
load,N_1100080115,constant_power_A_real,18356.8,0.0,9178.4,0.0
load,N_1100080115,constant_power_B_real,18356.8,0.0,9178.4,0.0
load,N_1100080115,constant_power_A_reac,6033.58,0.0,3016.79,0.0
load,N_1100080115,constant_power_B_reac,6033.58,0.0,3016.79,0.0
load,N_1100123665,constant_power_A,1571.76,516.612,785.88,258.306
load,N_1100123665,constant_power_B,1571.76,516.612,785.88,258.306
load,N_1100123665,constant_power_C,1571.76,516.612,785.88,258.306
load,N_1100123665,constant_power_A_real,1571.76,0.0,785.88,0.0
load,N_1100123665,constant_power_B_real,1571.76,0.0,785.88,0.0
load,N_1100123665,constant_power_C_real,1571.76,0.0,785.88,0.0
load,N_1100123665,constant_power_A_reac,516.612,0.0,258.306,0.0
load,N_1100123665,constant_power_B_reac,516.612,0.0,258.306,0.0
load,N_1100123665,constant_power_C_reac,516.612,0.0,258.306,0.0
load,N_1100058567,constant_power_A,31949.6,10501.3,15974.8,5250.65
load,N_1100058567,constant_power_B,31949.6,10501.3,15974.8,5250.65
load,N_1100058567,constant_power_A_real,31949.6,0.0,15974.8,0.0
load,N_1100058567,constant_power_B_real,31949.6,0.0,15974.8,0.0
load,N_1100058567,constant_power_A_reac,10501.3,0.0,5250.65,0.0
load,N_1100058567,constant_power_B_reac,10501.3,0.0,5250.65,0.0
load,N_1100080116,constant_power_A,23728.3,7799.11,11864.15,3899.555
load,N_1100080116,constant_power_B,23728.3,7799.11,11864.15,3899.555
load,N_1100080116,constant_power_A_real,23728.3,0.0,11864.15,0.0
load,N_1100080116,constant_power_B_real,23728.3,0.0,11864.15,0.0
load,N_1100080116,constant_power_A_reac,7799.11,0.0,3899.555,0.0
load,N_1100080116,constant_power_B_reac,7799.11,0.0,3899.555,0.0
load,N_1100005152,constant_power_A,1324.65,435.392,662.325,217.696
load,N_1100005152,constant_power_B,1324.65,435.392,662.325,217.696
load,N_1100005152,constant_power_C,1324.65,435.392,662.325,217.696
load,N_1100005152,constant_power_A_real,1324.65,0.0,662.325,0.0
load,N_1100005152,constant_power_B_real,1324.65,0.0,662.325,0.0
load,N_1100005152,constant_power_C_real,1324.65,0.0,662.325,0.0
load,N_1100005152,constant_power_A_reac,435.392,0.0,217.696,0.0
load,N_1100005152,constant_power_B_reac,435.392,0.0,217.696,0.0
load,N_1100005152,constant_power_C_reac,435.392,0.0,217.696,0.0
load,N_1100017190,constant_power_A,26699.7,8775.75,13349.85,4387.875
load,N_1100017190,constant_power_B,26699.7,8775.75,13349.85,4387.875
load,N_1100017190,constant_power_A_real,26699.7,0.0,13349.85,0.0
load,N_1100017190,constant_power_B_real,26699.7,0.0,13349.85,0.0
load,N_1100017190,constant_power_A_reac,8775.75,0.0,4387.875,0.0
load,N_1100017190,constant_power_B_reac,8775.75,0.0,4387.875,0.0
load,N_1100017193,constant_power_A,2813.37,924.709,1406.685,462.3545
load,N_1100017193,constant_power_B,2813.37,924.709,1406.685,462.3545
load,N_1100017193,constant_power_A_real,2813.37,0.0,1406.685,0.0
load,N_1100017193,constant_power_B_real,2813.37,0.0,1406.685,0.0
load,N_1100017193,constant_power_A_reac,924.709,0.0,462.3545,0.0
load,N_1100017193,constant_power_B_reac,924.709,0.0,462.3545,0.0
load,N_1100065409,constant_power_A,26183.2,8605.99,13091.6,4302.995
load,N_1100065409,constant_power_B,26183.2,8605.99,13091.6,4302.995
load,N_1100065409,constant_power_A_real,26183.2,0.0,13091.6,0.0
load,N_1100065409,constant_power_B_real,26183.2,0.0,13091.6,0.0
load,N_1100065409,constant_power_A_reac,8605.99,0.0,4302.995,0.0
load,N_1100065409,constant_power_B_reac,8605.99,0.0,4302.995,0.0
load,N_1100015719,constant_power_A,26329.0,8653.92,13164.5,4326.96
load,N_1100015719,constant_power_B,26329.0,8653.92,13164.5,4326.96
load,N_1100015719,constant_power_A_real,26329.0,0.0,13164.5,0.0
load,N_1100015719,constant_power_B_real,26329.0,0.0,13164.5,0.0
load,N_1100015719,constant_power_A_reac,8653.92,0.0,4326.96,0.0
load,N_1100015719,constant_power_B_reac,8653.92,0.0,4326.96,0.0
load,N_1100017194,constant_power_A,6179.69,2193.88,3089.845,1096.94
load,N_1100017194,constant_power_B,6179.69,2193.88,3089.845,1096.94
load,N_1100017194,constant_power_A_real,6179.69,0.0,3089.845,0.0
load,N_1100017194,constant_power_B_real,6179.69,0.0,3089.845,0.0
load,N_1100017194,constant_power_A_reac,2193.88,0.0,1096.94,0.0
load,N_1100017194,constant_power_B_reac,2193.88,0.0,1096.94,0.0
load,N_1100122386,constant_power_A,21893.2,7195.96,10946.6,3597.98
load,N_1100122386,constant_power_B,21893.2,7195.96,10946.6,3597.98
load,N_1100122386,constant_power_A_real,21893.2,0.0,10946.6,0.0
load,N_1100122386,constant_power_B_real,21893.2,0.0,10946.6,0.0
load,N_1100122386,constant_power_A_reac,7195.96,0.0,3597.98,0.0
load,N_1100122386,constant_power_B_reac,7195.96,0.0,3597.98,0.0
load,N_1100079902,constant_power_A,6319.44,2077.1,3159.72,1038.55
load,N_1100079902,constant_power_B,6319.44,2077.1,3159.72,1038.55
load,N_1100079902,constant_power_C,6319.44,2077.1,3159.72,1038.55
load,N_1100079902,constant_power_A_real,6319.44,0.0,3159.72,0.0
load,N_1100079902,constant_power_B_real,6319.44,0.0,3159.72,0.0
load,N_1100079902,constant_power_C_real,6319.44,0.0,3159.72,0.0
load,N_1100079902,constant_power_A_reac,2077.1,0.0,1038.55,0.0
load,N_1100079902,constant_power_B_reac,2077.1,0.0,1038.55,0.0
load,N_1100079902,constant_power_C_reac,2077.1,0.0,1038.55,0.0
load,N_1100123734,constant_power_A,5146.7,1691.64,2573.35,845.82
load,N_1100123734,constant_power_B,5146.7,1691.64,2573.35,845.82
load,N_1100123734,constant_power_A_real,5146.7,0.0,2573.35,0.0
load,N_1100123734,constant_power_B_real,5146.7,0.0,2573.35,0.0
load,N_1100123734,constant_power_A_reac,1691.64,0.0,845.82,0.0
load,N_1100123734,constant_power_B_reac,1691.64,0.0,845.82,0.0
load,N_1100123737,constant_power_A,3520.25,2181.66,1760.125,1090.83
load,N_1100123737,constant_power_B,3520.25,2181.66,1760.125,1090.83
load,N_1100123737,constant_power_C,3520.25,2181.66,1760.125,1090.83
load,N_1100123737,constant_power_A_real,3520.25,0.0,1760.125,0.0
load,N_1100123737,constant_power_B_real,3520.25,0.0,1760.125,0.0
load,N_1100123737,constant_power_C_real,3520.25,0.0,1760.125,0.0
load,N_1100123737,constant_power_A_reac,2181.66,0.0,1090.83,0.0
load,N_1100123737,constant_power_B_reac,2181.66,0.0,1090.83,0.0
load,N_1100123737,constant_power_C_reac,2181.66,0.0,1090.83,0.0
load,N_1100079901,constant_power_A,10216.4,3357.98,5108.2,1678.99
load,N_1100079901,constant_power_B,10216.4,3357.98,5108.2,1678.99
load,N_1100079901,constant_power_C,10216.4,3357.98,5108.2,1678.99
load,N_1100079901,constant_power_A_real,10216.4,0.0,5108.2,0.0
load,N_1100079901,constant_power_B_real,10216.4,0.0,5108.2,0.0
load,N_1100079901,constant_power_C_real,10216.4,0.0,5108.2,0.0
load,N_1100079901,constant_power_A_reac,3357.98,0.0,1678.99,0.0
load,N_1100079901,constant_power_B_reac,3357.98,0.0,1678.99,0.0
load,N_1100079901,constant_power_C_reac,3357.98,0.0,1678.99,0.0
load,N_1100042562,constant_power_A,19547.7,6428.57,9773.85,3214.285
load,N_1100042562,constant_power_B,19547.7,6428.57,9773.85,3214.285
load,N_1100042562,constant_power_A_real,19547.7,0.0,9773.85,0.0
load,N_1100042562,constant_power_B_real,19547.7,0.0,9773.85,0.0
load,N_1100042562,constant_power_A_reac,6428.57,0.0,3214.285,0.0
load,N_1100042562,constant_power_B_reac,6428.57,0.0,3214.285,0.0
load,N_1100042563,constant_power_A,10645.8,3499.12,5322.9,1749.56
load,N_1100042563,constant_power_B,10645.8,3499.12,5322.9,1749.56
load,N_1100042563,constant_power_A_real,10645.8,0.0,5322.9,0.0
load,N_1100042563,constant_power_B_real,10645.8,0.0,5322.9,0.0
load,N_1100042563,constant_power_A_reac,3499.12,0.0,1749.56,0.0
load,N_1100042563,constant_power_B_reac,3499.12,0.0,1749.56,0.0
load,N_1100042560,constant_power_A,13009.5,4276.03,6504.75,2138.015
load,N_1100042560,constant_power_B,13009.5,4276.03,6504.75,2138.015
load,N_1100042560,constant_power_A_real,13009.5,0.0,6504.75,0.0
load,N_1100042560,constant_power_B_real,13009.5,0.0,6504.75,0.0
load,N_1100042560,constant_power_A_reac,4276.03,0.0,2138.015,0.0
load,N_1100042560,constant_power_B_reac,4276.03,0.0,2138.015,0.0
load,N_1100123732,constant_power_A,1008.68,331.537,504.34,165.7685
load,N_1100123732,constant_power_B,1008.68,331.537,504.34,165.7685
load,N_1100123732,constant_power_C,1008.68,331.537,504.34,165.7685
load,N_1100123732,constant_power_A_real,1008.68,0.0,504.34,0.0
load,N_1100123732,constant_power_B_real,1008.68,0.0,504.34,0.0
load,N_1100123732,constant_power_C_real,1008.68,0.0,504.34,0.0
load,N_1100123732,constant_power_A_reac,331.537,0.0,165.7685,0.0
load,N_1100123732,constant_power_B_reac,331.537,0.0,165.7685,0.0
load,N_1100123732,constant_power_C_reac,331.537,0.0,165.7685,0.0
load,N_1100065000,constant_power_A,20108.8,6609.44,10054.4,3304.72
load,N_1100065000,constant_power_B,20108.8,6609.44,10054.4,3304.72
load,N_1100065000,constant_power_C,20108.8,6609.44,10054.4,3304.72
load,N_1100065000,constant_power_A_real,20108.8,0.0,10054.4,0.0
load,N_1100065000,constant_power_B_real,20108.8,0.0,10054.4,0.0
load,N_1100065000,constant_power_C_real,20108.8,0.0,10054.4,0.0
load,N_1100065000,constant_power_A_reac,6609.44,0.0,3304.72,0.0
load,N_1100065000,constant_power_B_reac,6609.44,0.0,3304.72,0.0
load,N_1100065000,constant_power_C_reac,6609.44,0.0,3304.72,0.0
load,N_1100065001,constant_power_A,30438.7,10004.7,15219.35,5002.35
load,N_1100065001,constant_power_B,30438.7,10004.7,15219.35,5002.35
load,N_1100065001,constant_power_C,30438.7,10004.7,15219.35,5002.35
load,N_1100065001,constant_power_A_real,30438.7,0.0,15219.35,0.0
load,N_1100065001,constant_power_B_real,30438.7,0.0,15219.35,0.0
load,N_1100065001,constant_power_C_real,30438.7,0.0,15219.35,0.0
