class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,N_1600018256,constant_power_A,10000.0,6197.44,5000.0,3098.72
load,N_1600018256,constant_power_B,10000.0,6197.44,5000.0,3098.72
load,N_1600018256,constant_power_C,10000.0,6197.44,5000.0,3098.72
load,N_1600018256,constant_power_A_real,10000.0,0.0,5000.0,0.0
load,N_1600018256,constant_power_B_real,10000.0,0.0,5000.0,0.0
load,N_1600018256,constant_power_C_real,10000.0,0.0,5000.0,0.0
load,N_1600018256,constant_power_A_reac,6197.44,0.0,3098.72,0.0
load,N_1600018256,constant_power_B_reac,6197.44,0.0,3098.72,0.0
load,N_1600018256,constant_power_C_reac,6197.44,0.0,3098.72,0.0
load,N_1600034578,constant_power_A,94333.3,58462.5,47166.65,29231.25
load,N_1600034578,constant_power_B,94333.3,58462.5,47166.65,29231.25
load,N_1600034578,constant_power_C,94333.3,58462.5,47166.65,29231.25
load,N_1600034578,constant_power_A_real,94333.3,0.0,47166.65,0.0
load,N_1600034578,constant_power_B_real,94333.3,0.0,47166.65,0.0
load,N_1600034578,constant_power_C_real,94333.3,0.0,47166.65,0.0
load,N_1600034578,constant_power_A_reac,58462.5,0.0,29231.25,0.0
load,N_1600034578,constant_power_B_reac,58462.5,0.0,29231.25,0.0
load,N_1600034578,constant_power_C_reac,58462.5,0.0,29231.25,0.0
load,N_1600011035,constant_power_A,134333.0,28249.8,67166.5,14124.9
load,N_1600011035,constant_power_B,134333.0,28249.8,67166.5,14124.9
load,N_1600011035,constant_power_C,134333.0,28249.8,67166.5,14124.9
load,N_1600011035,constant_power_A_real,134333.0,0.0,67166.5,0.0
load,N_1600011035,constant_power_B_real,134333.0,0.0,67166.5,0.0
load,N_1600011035,constant_power_C_real,134333.0,0.0,67166.5,0.0
load,N_1600011035,constant_power_A_reac,28249.8,0.0,14124.9,0.0
load,N_1600011035,constant_power_B_reac,28249.8,0.0,14124.9,0.0
load,N_1600011035,constant_power_C_reac,28249.8,0.0,14124.9,0.0
load,N_1600011059,constant_power_A,54333.3,33672.8,27166.65,16836.4
load,N_1600011059,constant_power_B,54333.3,33672.8,27166.65,16836.4
load,N_1600011059,constant_power_C,54333.3,33672.8,27166.65,16836.4
load,N_1600011059,constant_power_A_real,54333.3,0.0,27166.65,0.0
load,N_1600011059,constant_power_B_real,54333.3,0.0,27166.65,0.0
load,N_1600011059,constant_power_C_real,54333.3,0.0,27166.65,0.0
load,N_1600011059,constant_power_A_reac,33672.8,0.0,16836.4,0.0
load,N_1600011059,constant_power_B_reac,33672.8,0.0,16836.4,0.0
load,N_1600011059,constant_power_C_reac,33672.8,0.0,16836.4,0.0
load,N_1600025799,constant_power_A,40666.7,25202.9,20333.35,12601.45
load,N_1600025799,constant_power_B,40666.7,25202.9,20333.35,12601.45
load,N_1600025799,constant_power_C,40666.7,25202.9,20333.35,12601.45
load,N_1600025799,constant_power_A_real,40666.7,0.0,20333.35,0.0
load,N_1600025799,constant_power_B_real,40666.7,0.0,20333.35,0.0
load,N_1600025799,constant_power_C_real,40666.7,0.0,20333.35,0.0
load,N_1600025799,constant_power_A_reac,25202.9,0.0,12601.45,0.0
load,N_1600025799,constant_power_B_reac,25202.9,0.0,12601.45,0.0
load,N_1600025799,constant_power_C_reac,25202.9,0.0,12601.45,0.0
load,N_1600021837,constant_power_A,183000.0,113413.0,91500.0,56706.5
load,N_1600021837,constant_power_B,183000.0,113413.0,91500.0,56706.5
load,N_1600021837,constant_power_C,183000.0,113413.0,91500.0,56706.5
load,N_1600021837,constant_power_A_real,183000.0,0.0,91500.0,0.0
load,N_1600021837,constant_power_B_real,183000.0,0.0,91500.0,0.0
load,N_1600021837,constant_power_C_real,183000.0,0.0,91500.0,0.0
load,N_1600021837,constant_power_A_reac,113413.0,0.0,56706.5,0.0
load,N_1600021837,constant_power_B_reac,113413.0,0.0,56706.5,0.0
load,N_1600021837,constant_power_C_reac,113413.0,0.0,56706.5,0.0
load,N_1600032911,constant_power_A,88000.0,54537.5,44000.0,27268.75
load,N_1600032911,constant_power_B,88000.0,54537.5,44000.0,27268.75
load,N_1600032911,constant_power_C,88000.0,54537.5,44000.0,27268.75
load,N_1600032911,constant_power_A_real,88000.0,0.0,44000.0,0.0
load,N_1600032911,constant_power_B_real,88000.0,0.0,44000.0,0.0
load,N_1600032911,constant_power_C_real,88000.0,0.0,44000.0,0.0
load,N_1600032911,constant_power_A_reac,54537.5,0.0,27268.75,0.0
load,N_1600032911,constant_power_B_reac,54537.5,0.0,27268.75,0.0
load,N_1600032911,constant_power_C_reac,54537.5,0.0,27268.75,0.0
load,N_1600033092,constant_power_A,479667.0,297271.0,239833.5,148635.5
load,N_1600033092,constant_power_B,479667.0,297271.0,239833.5,148635.5
load,N_1600033092,constant_power_C,479667.0,297271.0,239833.5,148635.5
load,N_1600033092,constant_power_A_real,479667.0,0.0,239833.5,0.0
load,N_1600033092,constant_power_B_real,479667.0,0.0,239833.5,0.0
load,N_1600033092,constant_power_C_real,479667.0,0.0,239833.5,0.0
load,N_1600033092,constant_power_A_reac,297271.0,0.0,148635.5,0.0
load,N_1600033092,constant_power_B_reac,297271.0,0.0,148635.5,0.0
load,N_1600033092,constant_power_C_reac,297271.0,0.0,148635.5,0.0
load,N_1600021838,constant_power_A,12000.0,7436.93,6000.0,3718.465
load,N_1600021838,constant_power_B,12000.0,7436.93,6000.0,3718.465
load,N_1600021838,constant_power_C,12000.0,7436.93,6000.0,3718.465
load,N_1600021838,constant_power_A_real,12000.0,0.0,6000.0,0.0
load,N_1600021838,constant_power_B_real,12000.0,0.0,6000.0,0.0
load,N_1600021838,constant_power_C_real,12000.0,0.0,6000.0,0.0
load,N_1600021838,constant_power_A_reac,7436.93,0.0,3718.465,0.0
load,N_1600021838,constant_power_B_reac,7436.93,0.0,3718.465,0.0
load,N_1600021838,constant_power_C_reac,7436.93,0.0,3718.465,0.0
load,N_1600057281,constant_power_A,6333.33,3925.05,3166.665,1962.525
load,N_1600057281,constant_power_B,6333.33,3925.05,3166.665,1962.525
load,N_1600057281,constant_power_C,6333.33,3925.05,3166.665,1962.525
load,N_1600057281,constant_power_A_real,6333.33,0.0,3166.665,0.0
load,N_1600057281,constant_power_B_real,6333.33,0.0,3166.665,0.0
load,N_1600057281,constant_power_C_real,6333.33,0.0,3166.665,0.0
load,N_1600057281,constant_power_A_reac,3925.05,0.0,1962.525,0.0
load,N_1600057281,constant_power_B_reac,3925.05,0.0,1962.525,0.0
load,N_1600057281,constant_power_C_reac,3925.05,0.0,1962.525,0.0
load,N_1600057565,constant_power_A,21666.7,13427.8,10833.35,6713.9
load,N_1600057565,constant_power_B,21666.7,13427.8,10833.35,6713.9
load,N_1600057565,constant_power_C,21666.7,13427.8,10833.35,6713.9
load,N_1600057565,constant_power_A_real,21666.7,0.0,10833.35,0.0
load,N_1600057565,constant_power_B_real,21666.7,0.0,10833.35,0.0
load,N_1600057565,constant_power_C_real,21666.7,0.0,10833.35,0.0
load,N_1600057565,constant_power_A_reac,13427.8,0.0,6713.9,0.0
load,N_1600057565,constant_power_B_reac,13427.8,0.0,6713.9,0.0
load,N_1600057565,constant_power_C_reac,13427.8,0.0,6713.9,0.0
load,N_1600040402,constant_power_A,169667.0,105150.0,84833.5,52575.0
load,N_1600040402,constant_power_B,169667.0,105150.0,84833.5,52575.0
load,N_1600040402,constant_power_C,169667.0,105150.0,84833.5,52575.0
load,N_1600040402,constant_power_A_real,169667.0,0.0,84833.5,0.0
load,N_1600040402,constant_power_B_real,169667.0,0.0,84833.5,0.0
load,N_1600040402,constant_power_C_real,169667.0,0.0,84833.5,0.0
load,N_1600040402,constant_power_A_reac,105150.0,0.0,52575.0,0.0
load,N_1600040402,constant_power_B_reac,105150.0,0.0,52575.0,0.0
load,N_1600040402,constant_power_C_reac,105150.0,0.0,52575.0,0.0
load,N_1600124503,constant_power_A,9666.67,5990.86,4833.335,2995.43
load,N_1600124503,constant_power_B,9666.67,5990.86,4833.335,2995.43
load,N_1600124503,constant_power_C,9666.67,5990.86,4833.335,2995.43
load,N_1600124503,constant_power_A_real,9666.67,0.0,4833.335,0.0
load,N_1600124503,constant_power_B_real,9666.67,0.0,4833.335,0.0
load,N_1600124503,constant_power_C_real,9666.67,0.0,4833.335,0.0
load,N_1600124503,constant_power_A_reac,5990.86,0.0,2995.43,0.0
load,N_1600124503,constant_power_B_reac,5990.86,0.0,2995.43,0.0
load,N_1600124503,constant_power_C_reac,5990.86,0.0,2995.43,0.0
load,N_1600057265,constant_power_A,420333.0,260499.0,210166.5,130249.5
load,N_1600057265,constant_power_B,420333.0,260499.0,210166.5,130249.5
load,N_1600057265,constant_power_C,420333.0,260499.0,210166.5,130249.5
load,N_1600057265,constant_power_A_real,420333.0,0.0,210166.5,0.0
load,N_1600057265,constant_power_B_real,420333.0,0.0,210166.5,0.0
load,N_1600057265,constant_power_C_real,420333.0,0.0,210166.5,0.0
load,N_1600057265,constant_power_A_reac,260499.0,0.0,130249.5,0.0
load,N_1600057265,constant_power_B_reac,260499.0,0.0,130249.5,0.0
load,N_1600057265,constant_power_C_reac,260499.0,0.0,130249.5,0.0
load,N_1600062602,constant_power_A,231667.0,143574.0,115833.5,71787.0
load,N_1600062602,constant_power_B,231667.0,143574.0,115833.5,71787.0
load,N_1600062602,constant_power_C,231667.0,143574.0,115833.5,71787.0
load,N_1600062602,constant_power_A_real,231667.0,0.0,115833.5,0.0
load,N_1600062602,constant_power_B_real,231667.0,0.0,115833.5,0.0
load,N_1600062602,constant_power_C_real,231667.0,0.0,115833.5,0.0
load,N_1600062602,constant_power_A_reac,143574.0,0.0,71787.0,0.0
load,N_1600062602,constant_power_B_reac,143574.0,0.0,71787.0,0.0
