class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,N_1700060228,constant_power_A,230.117,75.6357,115.0585,37.81785
load,N_1700060228,constant_power_B,230.117,75.6357,115.0585,37.81785
load,N_1700060228,constant_power_C,230.117,75.6357,115.0585,37.81785
load,N_1700060228,constant_power_A_real,230.117,0.0,115.0585,0.0
load,N_1700060228,constant_power_B_real,230.117,0.0,115.0585,0.0
load,N_1700060228,constant_power_C_real,230.117,0.0,115.0585,0.0
load,N_1700060228,constant_power_A_reac,75.6357,0.0,37.81785,0.0
load,N_1700060228,constant_power_B_reac,75.6357,0.0,37.81785,0.0
load,N_1700060228,constant_power_C_reac,75.6357,0.0,37.81785,0.0
load,N_1700060227,constant_power_A,573.273,188.426,286.6365,94.213
load,N_1700060227,constant_power_B,573.273,188.426,286.6365,94.213
load,N_1700060227,constant_power_C,573.273,188.426,286.6365,94.213
load,N_1700060227,constant_power_A_real,573.273,0.0,286.6365,0.0
load,N_1700060227,constant_power_B_real,573.273,0.0,286.6365,0.0
load,N_1700060227,constant_power_C_real,573.273,0.0,286.6365,0.0
load,N_1700060227,constant_power_A_reac,188.426,0.0,94.213,0.0
load,N_1700060227,constant_power_B_reac,188.426,0.0,94.213,0.0
load,N_1700060227,constant_power_C_reac,188.426,0.0,94.213,0.0
load,N_1700093679,constant_power_A,339.119,111.463,169.5595,55.7315
load,N_1700093679,constant_power_B,339.119,111.463,169.5595,55.7315
load,N_1700093679,constant_power_C,339.119,111.463,169.5595,55.7315
load,N_1700093679,constant_power_A_real,339.119,0.0,169.5595,0.0
load,N_1700093679,constant_power_B_real,339.119,0.0,169.5595,0.0
load,N_1700093679,constant_power_C_real,339.119,0.0,169.5595,0.0
load,N_1700093679,constant_power_A_reac,111.463,0.0,55.7315,0.0
load,N_1700093679,constant_power_B_reac,111.463,0.0,55.7315,0.0
load,N_1700093679,constant_power_C_reac,111.463,0.0,55.7315,0.0
load,N_1700093096,constant_power_A,1146.55,376.851,573.275,188.4255
load,N_1700093096,constant_power_B,1146.55,376.851,573.275,188.4255
load,N_1700093096,constant_power_C,1146.55,376.851,573.275,188.4255
load,N_1700093096,constant_power_A_real,1146.55,0.0,573.275,0.0
load,N_1700093096,constant_power_B_real,1146.55,0.0,573.275,0.0
load,N_1700093096,constant_power_C_real,1146.55,0.0,573.275,0.0
load,N_1700093096,constant_power_A_reac,376.851,0.0,188.4255,0.0
load,N_1700093096,constant_power_B_reac,376.851,0.0,188.4255,0.0
load,N_1700093096,constant_power_C_reac,376.851,0.0,188.4255,0.0
load,N_1700008890,constant_power_A,8683.88,5381.78,4341.94,2690.89
load,N_1700008890,constant_power_B,8683.88,5381.78,4341.94,2690.89
load,N_1700008890,constant_power_C,8683.88,5381.78,4341.94,2690.89
load,N_1700008890,constant_power_A_real,8683.88,0.0,4341.94,0.0
load,N_1700008890,constant_power_B_real,8683.88,0.0,4341.94,0.0
load,N_1700008890,constant_power_C_real,8683.88,0.0,4341.94,0.0
load,N_1700008890,constant_power_A_reac,5381.78,0.0,2690.89,0.0
load,N_1700008890,constant_power_B_reac,5381.78,0.0,2690.89,0.0
load,N_1700008890,constant_power_C_reac,5381.78,0.0,2690.89,0.0
load,N_1700093676,constant_power_A,1124.34,696.804,562.17,348.402
load,N_1700093676,constant_power_B,1124.34,696.804,562.17,348.402
load,N_1700093676,constant_power_C,1124.34,696.804,562.17,348.402
load,N_1700093676,constant_power_A_real,1124.34,0.0,562.17,0.0
load,N_1700093676,constant_power_B_real,1124.34,0.0,562.17,0.0
load,N_1700093676,constant_power_C_real,1124.34,0.0,562.17,0.0
load,N_1700093676,constant_power_A_reac,696.804,0.0,348.402,0.0
load,N_1700093676,constant_power_B_reac,696.804,0.0,348.402,0.0
load,N_1700093676,constant_power_C_reac,696.804,0.0,348.402,0.0
