class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,N_1200092490,constant_power_A,3477.04,1142.85,1738.52,571.425
load,N_1200092490,constant_power_B,3477.04,1142.85,1738.52,571.425
load,N_1200092490,constant_power_C,3477.04,1142.85,1738.52,571.425
load,N_1200092490,constant_power_A_real,3477.04,0.0,1738.52,0.0
load,N_1200092490,constant_power_B_real,3477.04,0.0,1738.52,0.0
load,N_1200092490,constant_power_C_real,3477.04,0.0,1738.52,0.0
load,N_1200092490,constant_power_A_reac,1142.85,0.0,571.425,0.0
load,N_1200092490,constant_power_B_reac,1142.85,0.0,571.425,0.0
load,N_1200092490,constant_power_C_reac,1142.85,0.0,571.425,0.0
load,N_1200178902,constant_power_A,2655.09,872.688,1327.545,436.344
load,N_1200178902,constant_power_B,2655.09,872.688,1327.545,436.344
load,N_1200178902,constant_power_C,2655.09,872.688,1327.545,436.344
load,N_1200178902,constant_power_A_real,2655.09,0.0,1327.545,0.0
load,N_1200178902,constant_power_B_real,2655.09,0.0,1327.545,0.0
load,N_1200178902,constant_power_C_real,2655.09,0.0,1327.545,0.0
load,N_1200178902,constant_power_A_reac,872.688,0.0,436.344,0.0
load,N_1200178902,constant_power_B_reac,872.688,0.0,436.344,0.0
load,N_1200178902,constant_power_C_reac,872.688,0.0,436.344,0.0
load,N_1200091162,constant_power_A,4109.72,2546.98,2054.86,1273.49
load,N_1200091162,constant_power_B,4109.72,2546.98,2054.86,1273.49
load,N_1200091162,constant_power_C,4109.72,2546.98,2054.86,1273.49
load,N_1200091162,constant_power_A_real,4109.72,0.0,2054.86,0.0
load,N_1200091162,constant_power_B_real,4109.72,0.0,2054.86,0.0
load,N_1200091162,constant_power_C_real,4109.72,0.0,2054.86,0.0
load,N_1200091162,constant_power_A_reac,2546.98,0.0,1273.49,0.0
load,N_1200091162,constant_power_B_reac,2546.98,0.0,1273.49,0.0
load,N_1200091162,constant_power_C_reac,2546.98,0.0,1273.49,0.0
load,N_1200099801,constant_power_A,1108.54,364.36,554.27,182.18
load,N_1200099801,constant_power_B,1108.54,364.36,554.27,182.18
load,N_1200099801,constant_power_C,1108.54,364.36,554.27,182.18
load,N_1200099801,constant_power_A_real,1108.54,0.0,554.27,0.0
load,N_1200099801,constant_power_B_real,1108.54,0.0,554.27,0.0
load,N_1200099801,constant_power_C_real,1108.54,0.0,554.27,0.0
load,N_1200099801,constant_power_A_reac,364.36,0.0,182.18,0.0
load,N_1200099801,constant_power_B_reac,364.36,0.0,182.18,0.0
load,N_1200099801,constant_power_C_reac,364.36,0.0,182.18,0.0
load,N_1200093575,constant_power_A,3282.37,2034.23,1641.185,1017.115
load,N_1200093575,constant_power_B,3282.37,2034.23,1641.185,1017.115
load,N_1200093575,constant_power_C,3282.37,2034.23,1641.185,1017.115
load,N_1200093575,constant_power_A_real,3282.37,0.0,1641.185,0.0
load,N_1200093575,constant_power_B_real,3282.37,0.0,1641.185,0.0
load,N_1200093575,constant_power_C_real,3282.37,0.0,1641.185,0.0
load,N_1200093575,constant_power_A_reac,2034.23,0.0,1017.115,0.0
load,N_1200093575,constant_power_B_reac,2034.23,0.0,1017.115,0.0
load,N_1200093575,constant_power_C_reac,2034.23,0.0,1017.115,0.0
load,N_1200157436,constant_power_A,4001.57,1315.25,2000.785,657.625
load,N_1200157436,constant_power_B,4001.57,1315.25,2000.785,657.625
load,N_1200157436,constant_power_C,4001.57,1315.25,2000.785,657.625
load,N_1200157436,constant_power_A_real,4001.57,0.0,2000.785,0.0
load,N_1200157436,constant_power_B_real,4001.57,0.0,2000.785,0.0
load,N_1200157436,constant_power_C_real,4001.57,0.0,2000.785,0.0
load,N_1200157436,constant_power_A_reac,1315.25,0.0,657.625,0.0
load,N_1200157436,constant_power_B_reac,1315.25,0.0,657.625,0.0
load,N_1200157436,constant_power_C_reac,1315.25,0.0,657.625,0.0
load,N_1200093572,constant_power_A,1941.3,677.423,970.65,338.7115
load,N_1200093572,constant_power_B,1941.3,677.423,970.65,338.7115
load,N_1200093572,constant_power_C,1941.3,677.423,970.65,338.7115
load,N_1200093572,constant_power_A_real,1941.3,0.0,970.65,0.0
load,N_1200093572,constant_power_B_real,1941.3,0.0,970.65,0.0
load,N_1200093572,constant_power_C_real,1941.3,0.0,970.65,0.0
load,N_1200093572,constant_power_A_reac,677.423,0.0,338.7115,0.0
load,N_1200093572,constant_power_B_reac,677.423,0.0,338.7115,0.0
load,N_1200093572,constant_power_C_reac,677.423,0.0,338.7115,0.0
load,N_1200157435,constant_power_A,5.40767,3.35137,2.703835,1.675685
