class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,N_100020401,constant_power_A,3806.88,2359.29,1903.44,1179.645
load,N_100020401,constant_power_B,3806.88,2359.29,1903.44,1179.645
load,N_100020401,constant_power_C,3806.88,2359.29,1903.44,1179.645
load,N_100020401,constant_power_A_real,3806.88,0.0,1903.44,0.0
load,N_100020401,constant_power_B_real,3806.88,0.0,1903.44,0.0
load,N_100020401,constant_power_C_real,3806.88,0.0,1903.44,0.0
load,N_100020401,constant_power_A_reac,2359.29,0.0,1179.645,0.0
load,N_100020401,constant_power_B_reac,2359.29,0.0,1179.645,0.0
load,N_100020401,constant_power_C_reac,2359.29,0.0,1179.645,0.0
load,N_100013792,constant_power_A,661.112,217.297,330.556,108.6485
load,N_100013792,constant_power_B,661.112,217.297,330.556,108.6485
load,N_100013792,constant_power_C,661.112,217.297,330.556,108.6485
load,N_100013792,constant_power_A_real,661.112,0.0,330.556,0.0
load,N_100013792,constant_power_B_real,661.112,0.0,330.556,0.0
load,N_100013792,constant_power_C_real,661.112,0.0,330.556,0.0
load,N_100013792,constant_power_A_reac,217.297,0.0,108.6485,0.0
load,N_100013792,constant_power_B_reac,217.297,0.0,108.6485,0.0
load,N_100013792,constant_power_C_reac,217.297,0.0,108.6485,0.0
load,N_100004457,constant_power_A,15095.9,4961.78,7547.95,2480.89
load,N_100004457,constant_power_B,15095.9,4961.78,7547.95,2480.89
load,N_100004457,constant_power_A_real,15095.9,0.0,7547.95,0.0
load,N_100004457,constant_power_B_real,15095.9,0.0,7547.95,0.0
load,N_100004457,constant_power_A_reac,4961.78,0.0,2480.89,0.0
load,N_100004457,constant_power_B_reac,4961.78,0.0,2480.89,0.0
load,N_100093881,constant_power_A,3618.88,1189.47,1809.44,594.735
load,N_100093881,constant_power_B,3618.88,1189.47,1809.44,594.735
load,N_100093881,constant_power_C,3618.88,1189.47,1809.44,594.735
load,N_100093881,constant_power_A_real,3618.88,0.0,1809.44,0.0
load,N_100093881,constant_power_B_real,3618.88,0.0,1809.44,0.0
load,N_100093881,constant_power_C_real,3618.88,0.0,1809.44,0.0
load,N_100093881,constant_power_A_reac,1189.47,0.0,594.735,0.0
load,N_100093881,constant_power_B_reac,1189.47,0.0,594.735,0.0
load,N_100093881,constant_power_C_reac,1189.47,0.0,594.735,0.0
load,N_100093880,constant_power_A,2434.52,800.188,1217.26,400.094
load,N_100093880,constant_power_B,2434.52,800.188,1217.26,400.094
load,N_100093880,constant_power_C,2434.52,800.188,1217.26,400.094
load,N_100093880,constant_power_A_real,2434.52,0.0,1217.26,0.0
load,N_100093880,constant_power_B_real,2434.52,0.0,1217.26,0.0
load,N_100093880,constant_power_C_real,2434.52,0.0,1217.26,0.0
load,N_100093880,constant_power_A_reac,800.188,0.0,400.094,0.0
load,N_100093880,constant_power_B_reac,800.188,0.0,400.094,0.0
load,N_100093880,constant_power_C_reac,800.188,0.0,400.094,0.0
load,N_100093883,constant_power_A,8102.53,2663.17,4051.265,1331.585
load,N_100093883,constant_power_B,8102.53,2663.17,4051.265,1331.585
load,N_100093883,constant_power_C,8102.53,2663.17,4051.265,1331.585
load,N_100093883,constant_power_A_real,8102.53,0.0,4051.265,0.0
load,N_100093883,constant_power_B_real,8102.53,0.0,4051.265,0.0
load,N_100093883,constant_power_C_real,8102.53,0.0,4051.265,0.0
load,N_100093883,constant_power_A_reac,2663.17,0.0,1331.585,0.0
load,N_100093883,constant_power_B_reac,2663.17,0.0,1331.585,0.0
load,N_100093883,constant_power_C_reac,2663.17,0.0,1331.585,0.0
load,N_100093882,constant_power_A,8199.66,2695.1,4099.83,1347.55
load,N_100093882,constant_power_B,8199.66,2695.1,4099.83,1347.55
load,N_100093882,constant_power_C,8199.66,2695.1,4099.83,1347.55
load,N_100093882,constant_power_A_real,8199.66,0.0,4099.83,0.0
load,N_100093882,constant_power_B_real,8199.66,0.0,4099.83,0.0
load,N_100093882,constant_power_C_real,8199.66,0.0,4099.83,0.0
load,N_100093882,constant_power_A_reac,2695.1,0.0,1347.55,0.0
load,N_100093882,constant_power_B_reac,2695.1,0.0,1347.55,0.0
load,N_100093882,constant_power_C_reac,2695.1,0.0,1347.55,0.0
load,N_100093639,constant_power_A,8027.34,2638.46,4013.67,1319.23
load,N_100093639,constant_power_B,8027.34,2638.46,4013.67,1319.23
load,N_100093639,constant_power_A_real,8027.34,0.0,4013.67,0.0
load,N_100093639,constant_power_B_real,8027.34,0.0,4013.67,0.0
load,N_100093639,constant_power_A_reac,2638.46,0.0,1319.23,0.0
load,N_100093639,constant_power_B_reac,2638.46,0.0,1319.23,0.0
load,N_100078015,constant_power_A,31160.0,10241.8,15580.0,5120.9
load,N_100078015,constant_power_B,31160.0,10241.8,15580.0,5120.9
load,N_100078015,constant_power_A_real,31160.0,0.0,15580.0,0.0
load,N_100078015,constant_power_B_real,31160.0,0.0,15580.0,0.0
load,N_100078015,constant_power_A_reac,10241.8,0.0,5120.9,0.0
