class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,N_1800054148,constant_power_A,396.619,130.362,198.3095,65.181
load,N_1800054148,constant_power_B,396.619,130.362,198.3095,65.181
load,N_1800054148,constant_power_A_real,396.619,0.0,198.3095,0.0
load,N_1800054148,constant_power_B_real,396.619,0.0,198.3095,0.0
load,N_1800054148,constant_power_A_reac,130.362,0.0,65.181,0.0
load,N_1800054148,constant_power_B_reac,130.362,0.0,65.181,0.0
load,N_1800054142,constant_power_A,128.85,42.3509,64.425,21.17545
load,N_1800054142,constant_power_B,128.85,42.3509,64.425,21.17545
load,N_1800054142,constant_power_C,128.85,42.3509,64.425,21.17545
load,N_1800054142,constant_power_A_real,128.85,0.0,64.425,0.0
load,N_1800054142,constant_power_B_real,128.85,0.0,64.425,0.0
load,N_1800054142,constant_power_C_real,128.85,0.0,64.425,0.0
load,N_1800054142,constant_power_A_reac,42.3509,0.0,21.17545,0.0
load,N_1800054142,constant_power_B_reac,42.3509,0.0,21.17545,0.0
load,N_1800054142,constant_power_C_reac,42.3509,0.0,21.17545,0.0
load,N_1800054143,constant_power_A,211.456,69.5021,105.728,34.75105
load,N_1800054143,constant_power_B,211.456,69.5021,105.728,34.75105
load,N_1800054143,constant_power_C,211.456,69.5021,105.728,34.75105
load,N_1800054143,constant_power_A_real,211.456,0.0,105.728,0.0
load,N_1800054143,constant_power_B_real,211.456,0.0,105.728,0.0
load,N_1800054143,constant_power_C_real,211.456,0.0,105.728,0.0
load,N_1800054143,constant_power_A_reac,69.5021,0.0,34.75105,0.0
load,N_1800054143,constant_power_B_reac,69.5021,0.0,34.75105,0.0
load,N_1800054143,constant_power_C_reac,69.5021,0.0,34.75105,0.0
load,N_1800054141,constant_power_A,558.101,308.788,279.0505,154.394
load,N_1800054141,constant_power_B,558.101,308.788,279.0505,154.394
load,N_1800054141,constant_power_C,558.101,308.788,279.0505,154.394
load,N_1800054141,constant_power_A_real,558.101,0.0,279.0505,0.0
load,N_1800054141,constant_power_B_real,558.101,0.0,279.0505,0.0
load,N_1800054141,constant_power_C_real,558.101,0.0,279.0505,0.0
load,N_1800054141,constant_power_A_reac,308.788,0.0,154.394,0.0
load,N_1800054141,constant_power_B_reac,308.788,0.0,154.394,0.0
load,N_1800054141,constant_power_C_reac,308.788,0.0,154.394,0.0
load,N_1800054147,constant_power_A,341.238,112.16,170.619,56.08
load,N_1800054147,constant_power_B,341.238,112.16,170.619,56.08
load,N_1800054147,constant_power_A_real,341.238,0.0,170.619,0.0
load,N_1800054147,constant_power_B_real,341.238,0.0,170.619,0.0
load,N_1800054147,constant_power_A_reac,112.16,0.0,56.08,0.0
load,N_1800054147,constant_power_B_reac,112.16,0.0,56.08,0.0
load,N_1800054144,constant_power_A,526.681,173.112,263.3405,86.556
load,N_1800054144,constant_power_B,526.681,173.112,263.3405,86.556
load,N_1800054144,constant_power_A_real,526.681,0.0,263.3405,0.0
load,N_1800054144,constant_power_B_real,526.681,0.0,263.3405,0.0
load,N_1800054144,constant_power_A_reac,173.112,0.0,86.556,0.0
load,N_1800054144,constant_power_B_reac,173.112,0.0,86.556,0.0
load,N_1800016752,constant_power_A,867.919,285.271,433.9595,142.6355
load,N_1800016752,constant_power_B,867.919,285.271,433.9595,142.6355
load,N_1800016752,constant_power_A_real,867.919,0.0,433.9595,0.0
load,N_1800016752,constant_power_B_real,867.919,0.0,433.9595,0.0
load,N_1800016752,constant_power_A_reac,285.271,0.0,142.6355,0.0
load,N_1800016752,constant_power_B_reac,285.271,0.0,142.6355,0.0
load,N_1800004949,constant_power_A,5226.75,3224.18,2613.375,1612.09
load,N_1800004949,constant_power_B,5226.75,3224.18,2613.375,1612.09
load,N_1800004949,constant_power_C,5226.75,3224.18,2613.375,1612.09
load,N_1800004949,constant_power_A_real,5226.75,0.0,2613.375,0.0
load,N_1800004949,constant_power_B_real,5226.75,0.0,2613.375,0.0
load,N_1800004949,constant_power_C_real,5226.75,0.0,2613.375,0.0
load,N_1800004949,constant_power_A_reac,3224.18,0.0,1612.09,0.0
load,N_1800004949,constant_power_B_reac,3224.18,0.0,1612.09,0.0
load,N_1800004949,constant_power_C_reac,3224.18,0.0,1612.09,0.0
load,N_1800053450,constant_power_A,539.547,177.341,269.7735,88.6705
load,N_1800053450,constant_power_B,539.547,177.341,269.7735,88.6705
load,N_1800053450,constant_power_A_real,539.547,0.0,269.7735,0.0
load,N_1800053450,constant_power_B_real,539.547,0.0,269.7735,0.0
load,N_1800053450,constant_power_A_reac,177.341,0.0,88.6705,0.0
load,N_1800053450,constant_power_B_reac,177.341,0.0,88.6705,0.0
load,N_1800053452,constant_power_A,299.003,98.2775,149.5015,49.13875
load,N_1800053452,constant_power_B,299.003,98.2775,149.5015,49.13875
load,N_1800053452,constant_power_A_real,299.003,0.0,149.5015,0.0
load,N_1800053452,constant_power_B_real,299.003,0.0,149.5015,0.0
load,N_1800053452,constant_power_A_reac,98.2775,0.0,49.13875,0.0
load,N_1800053452,constant_power_B_reac,98.2775,0.0,49.13875,0.0
load,N_1800053455,constant_power_A,60.696,19.9498,30.348,9.9749
load,N_1800053455,constant_power_B,60.696,19.9498,30.348,9.9749
load,N_1800053455,constant_power_A_real,60.696,0.0,30.348,0.0
load,N_1800053455,constant_power_B_real,60.696,0.0,30.348,0.0
load,N_1800053455,constant_power_A_reac,19.9498,0.0,9.9749,0.0
load,N_1800053455,constant_power_B_reac,19.9498,0.0,9.9749,0.0
load,N_1800053454,constant_power_A,192.995,63.4344,96.4975,31.7172
load,N_1800053454,constant_power_B,192.995,63.4344,96.4975,31.7172
load,N_1800053454,constant_power_A_real,192.995,0.0,96.4975,0.0
load,N_1800053454,constant_power_B_real,192.995,0.0,96.4975,0.0
load,N_1800053454,constant_power_A_reac,63.4344,0.0,31.7172,0.0
load,N_1800053454,constant_power_B_reac,63.4344,0.0,31.7172,0.0
load,N_1800053457,constant_power_A,607.329,199.619,303.6645,99.8095
load,N_1800053457,constant_power_B,607.329,199.619,303.6645,99.8095
load,N_1800053457,constant_power_C,607.329,199.619,303.6645,99.8095
load,N_1800053457,constant_power_A_real,607.329,0.0,303.6645,0.0
load,N_1800053457,constant_power_B_real,607.329,0.0,303.6645,0.0
load,N_1800053457,constant_power_C_real,607.329,0.0,303.6645,0.0
load,N_1800053457,constant_power_A_reac,199.619,0.0,99.8095,0.0
load,N_1800053457,constant_power_B_reac,199.619,0.0,99.8095,0.0
load,N_1800053457,constant_power_C_reac,199.619,0.0,99.8095,0.0
load,N_1800053456,constant_power_A,205.302,67.4795,102.651,33.73975
load,N_1800053456,constant_power_B,205.302,67.4795,102.651,33.73975
load,N_1800053456,constant_power_C,205.302,67.4795,102.651,33.73975
load,N_1800053456,constant_power_A_real,205.302,0.0,102.651,0.0
load,N_1800053456,constant_power_B_real,205.302,0.0,102.651,0.0
load,N_1800053456,constant_power_C_real,205.302,0.0,102.651,0.0
load,N_1800053456,constant_power_A_reac,67.4795,0.0,33.73975,0.0
load,N_1800053456,constant_power_B_reac,67.4795,0.0,33.73975,0.0
load,N_1800053456,constant_power_C_reac,67.4795,0.0,33.73975,0.0
load,N_1800034358,constant_power_A,744.57,375.313,372.285,187.6565
load,N_1800034358,constant_power_B,744.57,375.313,372.285,187.6565
load,N_1800034358,constant_power_C,744.57,375.313,372.285,187.6565
load,N_1800034358,constant_power_A_real,744.57,0.0,372.285,0.0
load,N_1800034358,constant_power_B_real,744.57,0.0,372.285,0.0
load,N_1800034358,constant_power_C_real,744.57,0.0,372.285,0.0
load,N_1800034358,constant_power_A_reac,375.313,0.0,187.6565,0.0
load,N_1800034358,constant_power_B_reac,375.313,0.0,187.6565,0.0
load,N_1800034358,constant_power_C_reac,375.313,0.0,187.6565,0.0
load,N_1800053513,constant_power_A,60.7887,23.1213,30.39435,11.56065
load,N_1800053513,constant_power_B,60.7887,23.1213,30.39435,11.56065
load,N_1800053513,constant_power_C,60.7887,23.1213,30.39435,11.56065
load,N_1800053513,constant_power_A_real,60.7887,0.0,30.39435,0.0
load,N_1800053513,constant_power_B_real,60.7887,0.0,30.39435,0.0
load,N_1800053513,constant_power_C_real,60.7887,0.0,30.39435,0.0
load,N_1800053513,constant_power_A_reac,23.1213,0.0,11.56065,0.0
load,N_1800053513,constant_power_B_reac,23.1213,0.0,11.56065,0.0
load,N_1800053513,constant_power_C_reac,23.1213,0.0,11.56065,0.0
load,N_1800053515,constant_power_A,418.156,137.441,209.078,68.7205
load,N_1800053515,constant_power_B,418.156,137.441,209.078,68.7205
load,N_1800053515,constant_power_A_real,418.156,0.0,209.078,0.0
load,N_1800053515,constant_power_B_real,418.156,0.0,209.078,0.0
load,N_1800053515,constant_power_A_reac,137.441,0.0,68.7205,0.0
load,N_1800053515,constant_power_B_reac,137.441,0.0,68.7205,0.0
load,N_1800053517,constant_power_A,962.179,316.253,481.0895,158.1265
load,N_1800053517,constant_power_B,962.179,316.253,481.0895,158.1265
load,N_1800053517,constant_power_A_real,962.179,0.0,481.0895,0.0
load,N_1800053517,constant_power_B_real,962.179,0.0,481.0895,0.0
load,N_1800053517,constant_power_A_reac,316.253,0.0,158.1265,0.0
load,N_1800053517,constant_power_B_reac,316.253,0.0,158.1265,0.0
load,N_1800053519,constant_power_A,1206.08,396.419,603.04,198.2095
load,N_1800053519,constant_power_B,1206.08,396.419,603.04,198.2095
load,N_1800053519,constant_power_A_real,1206.08,0.0,603.04,0.0
load,N_1800053519,constant_power_B_real,1206.08,0.0,603.04,0.0
load,N_1800053519,constant_power_A_reac,396.419,0.0,198.2095,0.0
load,N_1800053519,constant_power_B_reac,396.419,0.0,198.2095,0.0
load,N_1800034357,constant_power_A,2173.26,1256.37,1086.63,628.185
load,N_1800034357,constant_power_B,2173.26,1256.37,1086.63,628.185
load,N_1800034357,constant_power_C,2173.26,1256.37,1086.63,628.185
load,N_1800034357,constant_power_A_real,2173.26,0.0,1086.63,0.0
load,N_1800034357,constant_power_B_real,2173.26,0.0,1086.63,0.0
load,N_1800034357,constant_power_C_real,2173.26,0.0,1086.63,0.0
load,N_1800034357,constant_power_A_reac,1256.37,0.0,628.185,0.0
load,N_1800034357,constant_power_B_reac,1256.37,0.0,628.185,0.0
load,N_1800034357,constant_power_C_reac,1256.37,0.0,628.185,0.0
load,N_1800031219,constant_power_A,584.859,192.234,292.4295,96.117
load,N_1800031219,constant_power_B,584.859,192.234,292.4295,96.117
load,N_1800031219,constant_power_A_real,584.859,0.0,292.4295,0.0
load,N_1800031219,constant_power_B_real,584.859,0.0,292.4295,0.0
load,N_1800031219,constant_power_A_reac,192.234,0.0,96.117,0.0
load,N_1800031219,constant_power_B_reac,192.234,0.0,96.117,0.0
load,N_1800038583,constant_power_A,432.048,267.759,216.024,133.8795
load,N_1800038583,constant_power_B,432.048,267.759,216.024,133.8795
load,N_1800038583,constant_power_C,432.048,267.759,216.024,133.8795
load,N_1800038583,constant_power_A_real,432.048,0.0,216.024,0.0
load,N_1800038583,constant_power_B_real,432.048,0.0,216.024,0.0
load,N_1800038583,constant_power_C_real,432.048,0.0,216.024,0.0
load,N_1800038583,constant_power_A_reac,267.759,0.0,133.8795,0.0
load,N_1800038583,constant_power_B_reac,267.759,0.0,133.8795,0.0
load,N_1800038583,constant_power_C_reac,267.759,0.0,133.8795,0.0
load,N_1800038585,constant_power_A,728.347,451.389,364.1735,225.6945
load,N_1800038585,constant_power_B,728.347,451.389,364.1735,225.6945
load,N_1800038585,constant_power_C,728.347,451.389,364.1735,225.6945
load,N_1800038585,constant_power_A_real,728.347,0.0,364.1735,0.0
load,N_1800038585,constant_power_B_real,728.347,0.0,364.1735,0.0
load,N_1800038585,constant_power_C_real,728.347,0.0,364.1735,0.0
load,N_1800038585,constant_power_A_reac,451.389,0.0,225.6945,0.0
load,N_1800038585,constant_power_B_reac,451.389,0.0,225.6945,0.0
load,N_1800038585,constant_power_C_reac,451.389,0.0,225.6945,0.0
load,N_1800038586,constant_power_A,42.142,26.1173,21.071,13.05865
load,N_1800038586,constant_power_B,42.142,26.1173,21.071,13.05865
load,N_1800038586,constant_power_C,42.142,26.1173,21.071,13.05865
load,N_1800038586,constant_power_A_real,42.142,0.0,21.071,0.0
load,N_1800038586,constant_power_B_real,42.142,0.0,21.071,0.0
load,N_1800038586,constant_power_C_real,42.142,0.0,21.071,0.0
load,N_1800038586,constant_power_A_reac,26.1173,0.0,13.05865,0.0
load,N_1800038586,constant_power_B_reac,26.1173,0.0,13.05865,0.0
load,N_1800038586,constant_power_C_reac,26.1173,0.0,13.05865,0.0
load,N_1800031213,constant_power_A,606.209,285.944,303.1045,142.972
load,N_1800031213,constant_power_B,606.209,285.944,303.1045,142.972
load,N_1800031213,constant_power_C,606.209,285.944,303.1045,142.972
load,N_1800031213,constant_power_A_real,606.209,0.0,303.1045,0.0
load,N_1800031213,constant_power_B_real,606.209,0.0,303.1045,0.0
load,N_1800031213,constant_power_C_real,606.209,0.0,303.1045,0.0
load,N_1800031213,constant_power_A_reac,285.944,0.0,142.972,0.0
load,N_1800031213,constant_power_B_reac,285.944,0.0,142.972,0.0
load,N_1800031213,constant_power_C_reac,285.944,0.0,142.972,0.0
load,N_1800080037,constant_power_A,541.785,178.076,270.8925,89.038
load,N_1800080037,constant_power_B,541.785,178.076,270.8925,89.038
load,N_1800080037,constant_power_A_real,541.785,0.0,270.8925,0.0
load,N_1800080037,constant_power_B_real,541.785,0.0,270.8925,0.0
load,N_1800080037,constant_power_A_reac,178.076,0.0,89.038,0.0
load,N_1800080037,constant_power_B_reac,178.076,0.0,89.038,0.0
load,N_1800031216,constant_power_A,331.728,109.034,165.864,54.517
load,N_1800031216,constant_power_B,331.728,109.034,165.864,54.517
load,N_1800031216,constant_power_C,331.728,109.034,165.864,54.517
load,N_1800031216,constant_power_A_real,331.728,0.0,165.864,0.0
load,N_1800031216,constant_power_B_real,331.728,0.0,165.864,0.0
load,N_1800031216,constant_power_C_real,331.728,0.0,165.864,0.0
load,N_1800031216,constant_power_A_reac,109.034,0.0,54.517,0.0
load,N_1800031216,constant_power_B_reac,109.034,0.0,54.517,0.0
load,N_1800031216,constant_power_C_reac,109.034,0.0,54.517,0.0
load,N_1800053696,constant_power_A,435.032,269.608,217.516,134.804
load,N_1800053696,constant_power_B,435.032,269.608,217.516,134.804
load,N_1800053696,constant_power_C,435.032,269.608,217.516,134.804
load,N_1800053696,constant_power_A_real,435.032,0.0,217.516,0.0
load,N_1800053696,constant_power_B_real,435.032,0.0,217.516,0.0
load,N_1800053696,constant_power_C_real,435.032,0.0,217.516,0.0
load,N_1800053696,constant_power_A_reac,269.608,0.0,134.804,0.0
load,N_1800053696,constant_power_B_reac,269.608,0.0,134.804,0.0
load,N_1800053696,constant_power_C_reac,269.608,0.0,134.804,0.0
load,N_1800028770,constant_power_A,176.026,57.8571,88.013,28.92855
load,N_1800028770,constant_power_B,176.026,57.8571,88.013,28.92855
load,N_1800028770,constant_power_C,176.026,57.8571,88.013,28.92855
load,N_1800028770,constant_power_A_real,176.026,0.0,88.013,0.0
load,N_1800028770,constant_power_B_real,176.026,0.0,88.013,0.0
load,N_1800028770,constant_power_C_real,176.026,0.0,88.013,0.0
load,N_1800028770,constant_power_A_reac,57.8571,0.0,28.92855,0.0
load,N_1800028770,constant_power_B_reac,57.8571,0.0,28.92855,0.0
load,N_1800028770,constant_power_C_reac,57.8571,0.0,28.92855,0.0
load,N_1800017969,constant_power_A,10.4423,3.43223,5.22115,1.716115
load,N_1800017969,constant_power_B,10.4423,3.43223,5.22115,1.716115
load,N_1800017969,constant_power_C,10.4423,3.43223,5.22115,1.716115
load,N_1800017969,constant_power_A_real,10.4423,0.0,5.22115,0.0
load,N_1800017969,constant_power_B_real,10.4423,0.0,5.22115,0.0
load,N_1800017969,constant_power_C_real,10.4423,0.0,5.22115,0.0
load,N_1800017969,constant_power_A_reac,3.43223,0.0,1.716115,0.0
load,N_1800017969,constant_power_B_reac,3.43223,0.0,1.716115,0.0
load,N_1800017969,constant_power_C_reac,3.43223,0.0,1.716115,0.0
