class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,N_300033983,constant_power_A,43404.9,26899.9,21702.45,13449.95
load,N_300033983,constant_power_B,43404.9,26899.9,21702.45,13449.95
load,N_300033983,constant_power_C,43404.9,26899.9,21702.45,13449.95
load,N_300033983,constant_power_A_real,43404.9,0.0,21702.45,0.0
load,N_300033983,constant_power_B_real,43404.9,0.0,21702.45,0.0
load,N_300033983,constant_power_C_real,43404.9,0.0,21702.45,0.0
load,N_300033983,constant_power_A_reac,26899.9,0.0,13449.95,0.0
load,N_300033983,constant_power_B_reac,26899.9,0.0,13449.95,0.0
load,N_300033983,constant_power_C_reac,26899.9,0.0,13449.95,0.0
load,N_300062331,constant_power_A,22440.5,7609.1,11220.25,3804.55
load,N_300062331,constant_power_B,22440.5,7609.1,11220.25,3804.55
load,N_300062331,constant_power_A_real,22440.5,0.0,11220.25,0.0
load,N_300062331,constant_power_B_real,22440.5,0.0,11220.25,0.0
load,N_300062331,constant_power_A_reac,7609.1,0.0,3804.55,0.0
load,N_300062331,constant_power_B_reac,7609.1,0.0,3804.55,0.0
load,N_300062332,constant_power_A,19642.2,6456.09,9821.1,3228.045
load,N_300062332,constant_power_B,19642.2,6456.09,9821.1,3228.045
load,N_300062332,constant_power_A_real,19642.2,0.0,9821.1,0.0
load,N_300062332,constant_power_B_real,19642.2,0.0,9821.1,0.0
load,N_300062332,constant_power_A_reac,6456.09,0.0,3228.045,0.0
load,N_300062332,constant_power_B_reac,6456.09,0.0,3228.045,0.0
load,N_300062337,constant_power_A,9046.83,2973.55,4523.415,1486.775
load,N_300062337,constant_power_B,9046.83,2973.55,4523.415,1486.775
load,N_300062337,constant_power_A_real,9046.83,0.0,4523.415,0.0
load,N_300062337,constant_power_B_real,9046.83,0.0,4523.415,0.0
load,N_300062337,constant_power_A_reac,2973.55,0.0,1486.775,0.0
load,N_300062337,constant_power_B_reac,2973.55,0.0,1486.775,0.0
load,N_300062336,constant_power_A,29443.0,9677.43,14721.5,4838.715
load,N_300062336,constant_power_B,29443.0,9677.43,14721.5,4838.715
load,N_300062336,constant_power_A_real,29443.0,0.0,14721.5,0.0
load,N_300062336,constant_power_B_real,29443.0,0.0,14721.5,0.0
load,N_300062336,constant_power_A_reac,9677.43,0.0,4838.715,0.0
load,N_300062336,constant_power_B_reac,9677.43,0.0,4838.715,0.0
load,N_300017937,constant_power_A,18686.8,6142.06,9343.4,3071.03
load,N_300017937,constant_power_B,18686.8,6142.06,9343.4,3071.03
load,N_300017937,constant_power_C,18686.8,6142.06,9343.4,3071.03
load,N_300017937,constant_power_A_real,18686.8,0.0,9343.4,0.0
load,N_300017937,constant_power_B_real,18686.8,0.0,9343.4,0.0
load,N_300017937,constant_power_C_real,18686.8,0.0,9343.4,0.0
load,N_300017937,constant_power_A_reac,6142.06,0.0,3071.03,0.0
load,N_300017937,constant_power_B_reac,6142.06,0.0,3071.03,0.0
load,N_300017937,constant_power_C_reac,6142.06,0.0,3071.03,0.0
load,N_300006691,constant_power_B,28206.8,9271.14,14103.4,4635.57
load,N_300006691,constant_power_C,28206.8,9271.14,14103.4,4635.57
load,N_300006691,constant_power_B_real,28206.8,0.0,14103.4,0.0
load,N_300006691,constant_power_C_real,28206.8,0.0,14103.4,0.0
load,N_300006691,constant_power_B_reac,9271.14,0.0,4635.57,0.0
load,N_300006691,constant_power_C_reac,9271.14,0.0,4635.57,0.0
load,N_300053281,constant_power_A,19832.4,6518.59,9916.2,3259.295
load,N_300053281,constant_power_B,19832.4,6518.59,9916.2,3259.295
load,N_300053281,constant_power_C,19832.4,6518.59,9916.2,3259.295
load,N_300053281,constant_power_A_real,19832.4,0.0,9916.2,0.0
load,N_300053281,constant_power_B_real,19832.4,0.0,9916.2,0.0
load,N_300053281,constant_power_C_real,19832.4,0.0,9916.2,0.0
load,N_300053281,constant_power_A_reac,6518.59,0.0,3259.295,0.0
load,N_300053281,constant_power_B_reac,6518.59,0.0,3259.295,0.0
load,N_300053281,constant_power_C_reac,6518.59,0.0,3259.295,0.0
load,N_300062231,constant_power_A,9.056,2.97656,4.528,1.48828
load,N_300062231,constant_power_B,9.056,2.97656,4.528,1.48828
load,N_300062231,constant_power_C,9.056,2.97656,4.528,1.48828
load,N_300062231,constant_power_A_real,9.056,0.0,4.528,0.0
load,N_300062231,constant_power_B_real,9.056,0.0,4.528,0.0
load,N_300062231,constant_power_C_real,9.056,0.0,4.528,0.0
load,N_300062231,constant_power_A_reac,2.97656,0.0,1.48828,0.0
load,N_300062231,constant_power_B_reac,2.97656,0.0,1.48828,0.0
load,N_300062231,constant_power_C_reac,2.97656,0.0,1.48828,0.0
load,N_300062233,constant_power_A,2087.38,686.089,1043.69,343.0445
load,N_300062233,constant_power_B,2087.38,686.089,1043.69,343.0445
load,N_300062233,constant_power_C,2087.38,686.089,1043.69,343.0445
load,N_300062233,constant_power_A_real,2087.38,0.0,1043.69,0.0
load,N_300062233,constant_power_B_real,2087.38,0.0,1043.69,0.0
load,N_300062233,constant_power_C_real,2087.38,0.0,1043.69,0.0
load,N_300062233,constant_power_A_reac,686.089,0.0,343.0445,0.0
load,N_300062233,constant_power_B_reac,686.089,0.0,343.0445,0.0
load,N_300062233,constant_power_C_reac,686.089,0.0,343.0445,0.0
load,N_300053285,constant_power_A,16757.9,5508.06,8378.95,2754.03
load,N_300053285,constant_power_B,16757.9,5508.06,8378.95,2754.03
load,N_300053285,constant_power_C,16757.9,5508.06,8378.95,2754.03
load,N_300053285,constant_power_A_real,16757.9,0.0,8378.95,0.0
load,N_300053285,constant_power_B_real,16757.9,0.0,8378.95,0.0
load,N_300053285,constant_power_C_real,16757.9,0.0,8378.95,0.0
load,N_300053285,constant_power_A_reac,5508.06,0.0,2754.03,0.0
load,N_300053285,constant_power_B_reac,5508.06,0.0,2754.03,0.0
load,N_300053285,constant_power_C_reac,5508.06,0.0,2754.03,0.0
load,N_300053286,constant_power_A,9481.52,3116.42,4740.76,1558.21
load,N_300053286,constant_power_B,9481.52,3116.42,4740.76,1558.21
load,N_300053286,constant_power_C,9481.52,3116.42,4740.76,1558.21
load,N_300053286,constant_power_A_real,9481.52,0.0,4740.76,0.0
load,N_300053286,constant_power_B_real,9481.52,0.0,4740.76,0.0
load,N_300053286,constant_power_C_real,9481.52,0.0,4740.76,0.0
load,N_300053286,constant_power_A_reac,3116.42,0.0,1558.21,0.0
load,N_300053286,constant_power_B_reac,3116.42,0.0,1558.21,0.0
load,N_300053286,constant_power_C_reac,3116.42,0.0,1558.21,0.0
load,N_300218837,constant_power_A,19750.9,6491.8,9875.45,3245.9
load,N_300218837,constant_power_C,19750.9,6491.8,9875.45,3245.9
load,N_300218837,constant_power_A_real,19750.9,0.0,9875.45,0.0
load,N_300218837,constant_power_C_real,19750.9,0.0,9875.45,0.0
load,N_300218837,constant_power_A_reac,6491.8,0.0,3245.9,0.0
load,N_300218837,constant_power_C_reac,6491.8,0.0,3245.9,0.0
load,N_300062321,constant_power_B,39073.9,12843.0,19536.95,6421.5
load,N_300062321,constant_power_C,39073.9,12843.0,19536.95,6421.5
load,N_300062321,constant_power_B_real,39073.9,0.0,19536.95,0.0
load,N_300062321,constant_power_C_real,39073.9,0.0,19536.95,0.0
load,N_300062321,constant_power_B_reac,12843.0,0.0,6421.5,0.0
load,N_300062321,constant_power_C_reac,12843.0,0.0,6421.5,0.0
load,N_300063907,constant_power_A,665.608,218.775,332.804,109.3875
load,N_300063907,constant_power_B,665.608,218.775,332.804,109.3875
load,N_300063907,constant_power_C,665.608,218.775,332.804,109.3875
load,N_300063907,constant_power_A_real,665.608,0.0,332.804,0.0
load,N_300063907,constant_power_B_real,665.608,0.0,332.804,0.0
load,N_300063907,constant_power_C_real,665.608,0.0,332.804,0.0
load,N_300063907,constant_power_A_reac,218.775,0.0,109.3875,0.0
load,N_300063907,constant_power_B_reac,218.775,0.0,109.3875,0.0
load,N_300063907,constant_power_C_reac,218.775,0.0,109.3875,0.0
load,N_300062377,constant_power_A,13203.5,4416.21,6601.75,2208.105
load,N_300062377,constant_power_B,13203.5,4416.21,6601.75,2208.105
load,N_300062377,constant_power_C,13203.5,4416.21,6601.75,2208.105
load,N_300062377,constant_power_A_real,13203.5,0.0,6601.75,0.0
load,N_300062377,constant_power_B_real,13203.5,0.0,6601.75,0.0
load,N_300062377,constant_power_C_real,13203.5,0.0,6601.75,0.0
load,N_300062377,constant_power_A_reac,4416.21,0.0,2208.105,0.0
load,N_300062377,constant_power_B_reac,4416.21,0.0,2208.105,0.0
load,N_300062377,constant_power_C_reac,4416.21,0.0,2208.105,0.0
load,N_300063908,constant_power_A,2580.93,848.31,1290.465,424.155
load,N_300063908,constant_power_B,2580.93,848.31,1290.465,424.155
load,N_300063908,constant_power_C,2580.93,848.31,1290.465,424.155
load,N_300063908,constant_power_A_real,2580.93,0.0,1290.465,0.0
load,N_300063908,constant_power_B_real,2580.93,0.0,1290.465,0.0
load,N_300063908,constant_power_C_real,2580.93,0.0,1290.465,0.0
load,N_300063908,constant_power_A_reac,848.31,0.0,424.155,0.0
load,N_300063908,constant_power_B_reac,848.31,0.0,424.155,0.0
load,N_300063908,constant_power_C_reac,848.31,0.0,424.155,0.0
load,N_300062285,constant_power_A,1408.19,462.85,704.095,231.425
load,N_300062285,constant_power_B,1408.19,462.85,704.095,231.425
load,N_300062285,constant_power_C,1408.19,462.85,704.095,231.425
load,N_300062285,constant_power_A_real,1408.19,0.0,704.095,0.0
load,N_300062285,constant_power_B_real,1408.19,0.0,704.095,0.0
load,N_300062285,constant_power_C_real,1408.19,0.0,704.095,0.0
load,N_300062285,constant_power_A_reac,462.85,0.0,231.425,0.0
load,N_300062285,constant_power_B_reac,462.85,0.0,231.425,0.0
load,N_300062285,constant_power_C_reac,462.85,0.0,231.425,0.0
load,N_300062284,constant_power_A,190.174,117.859,95.087,58.9295
load,N_300062284,constant_power_B,190.174,117.859,95.087,58.9295
load,N_300062284,constant_power_C,190.174,117.859,95.087,58.9295
load,N_300062284,constant_power_A_real,190.174,0.0,95.087,0.0
load,N_300062284,constant_power_B_real,190.174,0.0,95.087,0.0
load,N_300062284,constant_power_C_real,190.174,0.0,95.087,0.0
load,N_300062284,constant_power_A_reac,117.859,0.0,58.9295,0.0
load,N_300062284,constant_power_B_reac,117.859,0.0,58.9295,0.0
load,N_300062284,constant_power_C_reac,117.859,0.0,58.9295,0.0
load,N_300062329,constant_power_A,27283.1,8967.53,13641.55,4483.765
load,N_300062329,constant_power_B,27283.1,8967.53,13641.55,4483.765
load,N_300062329,constant_power_A_real,27283.1,0.0,13641.55,0.0
load,N_300062329,constant_power_B_real,27283.1,0.0,13641.55,0.0
load,N_300062329,constant_power_A_reac,8967.53,0.0,4483.765,0.0
load,N_300062329,constant_power_B_reac,8967.53,0.0,4483.765,0.0
load,N_300062324,constant_power_B,21150.0,6951.68,10575.0,3475.84
load,N_300062324,constant_power_C,21150.0,6951.68,10575.0,3475.84
load,N_300062324,constant_power_B_real,21150.0,0.0,10575.0,0.0
load,N_300062324,constant_power_C_real,21150.0,0.0,10575.0,0.0
load,N_300062324,constant_power_B_reac,6951.68,0.0,3475.84,0.0
load,N_300062324,constant_power_C_reac,6951.68,0.0,3475.84,0.0
load,N_300062320,constant_power_B,1990.03,654.092,995.015,327.046
load,N_300062320,constant_power_C,1990.03,654.092,995.015,327.046
load,N_300062320,constant_power_B_real,1990.03,0.0,995.015,0.0
load,N_300062320,constant_power_C_real,1990.03,0.0,995.015,0.0
load,N_300062320,constant_power_B_reac,654.092,0.0,327.046,0.0
load,N_300062320,constant_power_C_reac,654.092,0.0,327.046,0.0
load,N_300062055,constant_power_A,14358.1,4719.28,7179.05,2359.64
load,N_300062055,constant_power_B,14358.1,4719.28,7179.05,2359.64
load,N_300062055,constant_power_C,14358.1,4719.28,7179.05,2359.64
load,N_300062055,constant_power_A_real,14358.1,0.0,7179.05,0.0
load,N_300062055,constant_power_B_real,14358.1,0.0,7179.05,0.0
load,N_300062055,constant_power_C_real,14358.1,0.0,7179.05,0.0
load,N_300062055,constant_power_A_reac,4719.28,0.0,2359.64,0.0
load,N_300062055,constant_power_B_reac,4719.28,0.0,2359.64,0.0
load,N_300062055,constant_power_C_reac,4719.28,0.0,2359.64,0.0
