class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,N_1800039845,constant_power_A,827.603,272.02,413.8015,136.01
load,N_1800039845,constant_power_B,827.603,272.02,413.8015,136.01
load,N_1800039845,constant_power_C,827.603,272.02,413.8015,136.01
load,N_1800039845,constant_power_A_real,827.603,0.0,413.8015,0.0
load,N_1800039845,constant_power_B_real,827.603,0.0,413.8015,0.0
load,N_1800039845,constant_power_C_real,827.603,0.0,413.8015,0.0
load,N_1800039845,constant_power_A_reac,272.02,0.0,136.01,0.0
load,N_1800039845,constant_power_B_reac,272.02,0.0,136.01,0.0
load,N_1800039845,constant_power_C_reac,272.02,0.0,136.01,0.0
load,N_1800070115,constant_power_A,1910.53,627.961,955.265,313.9805
load,N_1800070115,constant_power_B,1910.53,627.961,955.265,313.9805
load,N_1800070115,constant_power_A_real,1910.53,0.0,955.265,0.0
load,N_1800070115,constant_power_B_real,1910.53,0.0,955.265,0.0
load,N_1800070115,constant_power_A_reac,627.961,0.0,313.9805,0.0
load,N_1800070115,constant_power_B_reac,627.961,0.0,313.9805,0.0
load,N_1800061775,constant_power_A,20690.1,6800.5,10345.05,3400.25
load,N_1800061775,constant_power_A_real,20690.1,0.0,10345.05,0.0
load,N_1800061775,constant_power_A_reac,6800.5,0.0,3400.25,0.0
load,N_1800061774,constant_power_A,32681.5,10741.9,16340.75,5370.95
load,N_1800061774,constant_power_A_real,32681.5,0.0,16340.75,0.0
load,N_1800061774,constant_power_A_reac,10741.9,0.0,5370.95,0.0
load,N_1800073031,constant_power_A,1140.16,374.751,570.08,187.3755
load,N_1800073031,constant_power_B,1140.16,374.751,570.08,187.3755
load,N_1800073031,constant_power_A_real,1140.16,0.0,570.08,0.0
load,N_1800073031,constant_power_B_real,1140.16,0.0,570.08,0.0
load,N_1800073031,constant_power_A_reac,374.751,0.0,187.3755,0.0
load,N_1800073031,constant_power_B_reac,374.751,0.0,187.3755,0.0
load,N_1800073030,constant_power_A,2245.09,737.927,1122.545,368.9635
load,N_1800073030,constant_power_B,2245.09,737.927,1122.545,368.9635
load,N_1800073030,constant_power_A_real,2245.09,0.0,1122.545,0.0
load,N_1800073030,constant_power_B_real,2245.09,0.0,1122.545,0.0
load,N_1800073030,constant_power_A_reac,737.927,0.0,368.9635,0.0
load,N_1800073030,constant_power_B_reac,737.927,0.0,368.9635,0.0
load,N_1800073032,constant_power_A,3983.94,1309.46,1991.97,654.73
load,N_1800073032,constant_power_B,3983.94,1309.46,1991.97,654.73
load,N_1800073032,constant_power_A_real,3983.94,0.0,1991.97,0.0
load,N_1800073032,constant_power_B_real,3983.94,0.0,1991.97,0.0
load,N_1800073032,constant_power_A_reac,1309.46,0.0,654.73,0.0
load,N_1800073032,constant_power_B_reac,1309.46,0.0,654.73,0.0
load,N_1800190688,constant_power_A,7281.15,4512.45,3640.575,2256.225
load,N_1800190688,constant_power_B,7281.15,4512.45,3640.575,2256.225
load,N_1800190688,constant_power_C,7281.15,4512.45,3640.575,2256.225
load,N_1800190688,constant_power_A_real,7281.15,0.0,3640.575,0.0
load,N_1800190688,constant_power_B_real,7281.15,0.0,3640.575,0.0
load,N_1800190688,constant_power_C_real,7281.15,0.0,3640.575,0.0
load,N_1800190688,constant_power_A_reac,4512.45,0.0,2256.225,0.0
load,N_1800190688,constant_power_B_reac,4512.45,0.0,2256.225,0.0
load,N_1800190688,constant_power_C_reac,4512.45,0.0,2256.225,0.0
load,N_1800073036,constant_power_A,3077.1,1011.39,1538.55,505.695
load,N_1800073036,constant_power_B,3077.1,1011.39,1538.55,505.695
load,N_1800073036,constant_power_A_real,3077.1,0.0,1538.55,0.0
load,N_1800073036,constant_power_B_real,3077.1,0.0,1538.55,0.0
load,N_1800073036,constant_power_A_reac,1011.39,0.0,505.695,0.0
load,N_1800073036,constant_power_B_reac,1011.39,0.0,505.695,0.0
load,N_1800073039,constant_power_A,545.866,179.417,272.933,89.7085
load,N_1800073039,constant_power_B,545.866,179.417,272.933,89.7085
load,N_1800073039,constant_power_A_real,545.866,0.0,272.933,0.0
load,N_1800073039,constant_power_B_real,545.866,0.0,272.933,0.0
load,N_1800073039,constant_power_A_reac,179.417,0.0,89.7085,0.0
load,N_1800073039,constant_power_B_reac,179.417,0.0,89.7085,0.0
load,N_1800061776,constant_power_A,10098.5,3319.22,5049.25,1659.61
load,N_1800061776,constant_power_A_real,10098.5,0.0,5049.25,0.0
load,N_1800061776,constant_power_A_reac,3319.22,0.0,1659.61,0.0
load,N_1800046139,constant_power_A,444.617,146.139,222.3085,73.0695
load,N_1800046139,constant_power_B,444.617,146.139,222.3085,73.0695
load,N_1800046139,constant_power_A_real,444.617,0.0,222.3085,0.0
load,N_1800046139,constant_power_B_real,444.617,0.0,222.3085,0.0
load,N_1800046139,constant_power_A_reac,146.139,0.0,73.0695,0.0
load,N_1800046139,constant_power_B_reac,146.139,0.0,73.0695,0.0
load,N_1800197008,constant_power_A,2024.99,1254.97,1012.495,627.485
load,N_1800197008,constant_power_B,2024.99,1254.97,1012.495,627.485
load,N_1800197008,constant_power_C,2024.99,1254.97,1012.495,627.485
load,N_1800197008,constant_power_A_real,2024.99,0.0,1012.495,0.0
load,N_1800197008,constant_power_B_real,2024.99,0.0,1012.495,0.0
load,N_1800197008,constant_power_C_real,2024.99,0.0,1012.495,0.0
load,N_1800197008,constant_power_A_reac,1254.97,0.0,627.485,0.0
load,N_1800197008,constant_power_B_reac,1254.97,0.0,627.485,0.0
load,N_1800197008,constant_power_C_reac,1254.97,0.0,627.485,0.0
load,N_1800068607,constant_power_A,5637.68,2673.9,2818.84,1336.95
load,N_1800068607,constant_power_B,5637.68,2673.9,2818.84,1336.95
load,N_1800068607,constant_power_C,5637.68,2673.9,2818.84,1336.95
load,N_1800068607,constant_power_A_real,5637.68,0.0,2818.84,0.0
load,N_1800068607,constant_power_B_real,5637.68,0.0,2818.84,0.0
load,N_1800068607,constant_power_C_real,5637.68,0.0,2818.84,0.0
load,N_1800068607,constant_power_A_reac,2673.9,0.0,1336.95,0.0
load,N_1800068607,constant_power_B_reac,2673.9,0.0,1336.95,0.0
load,N_1800068607,constant_power_C_reac,2673.9,0.0,1336.95,0.0
load,N_1800070709,constant_power_A,572.279,205.183,286.1395,102.5915
