class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,R2-12-47-3_load_1,constant_power_A,56563.7,28638.7,28281.85,14319.35
load,R2-12-47-3_load_1,constant_power_B,71482.2,35330.0,35741.1,17665.0
load,R2-12-47-3_load_1,constant_power_C,58895.8,28580.7,29447.9,14290.35
load,R2-12-47-3_load_1,constant_power_A_real,56563.7,0.0,28281.85,0.0
load,R2-12-47-3_load_1,constant_power_B_real,71482.2,0.0,35741.1,0.0
load,R2-12-47-3_load_1,constant_power_C_real,58895.8,0.0,29447.9,0.0
load,R2-12-47-3_load_1,constant_power_A_reac,28638.7,0.0,14319.35,0.0
load,R2-12-47-3_load_1,constant_power_B_reac,35330.0,0.0,17665.0,0.0
load,R2-12-47-3_load_1,constant_power_C_reac,28580.7,0.0,14290.35,0.0
load,R2-12-47-3_load_2,constant_power_A,2530.18,1281.05,1265.09,640.525
load,R2-12-47-3_load_2,constant_power_B,3197.51,1580.37,1598.755,790.185
load,R2-12-47-3_load_2,constant_power_C,2634.5,1278.46,1317.25,639.23
load,R2-12-47-3_load_2,constant_power_A_real,2530.18,0.0,1265.09,0.0
load,R2-12-47-3_load_2,constant_power_B_real,3197.51,0.0,1598.755,0.0
load,R2-12-47-3_load_2,constant_power_C_real,2634.5,0.0,1317.25,0.0
load,R2-12-47-3_load_2,constant_power_A_reac,1281.05,0.0,640.525,0.0
load,R2-12-47-3_load_2,constant_power_B_reac,1580.37,0.0,790.185,0.0
load,R2-12-47-3_load_2,constant_power_C_reac,1278.46,0.0,639.23,0.0
load,R2-12-47-3_load_3,constant_power_A,5060.36,2562.11,2530.18,1281.055
load,R2-12-47-3_load_3,constant_power_B,6395.01,3160.73,3197.505,1580.365
load,R2-12-47-3_load_3,constant_power_C,5269.0,2556.91,2634.5,1278.455
load,R2-12-47-3_load_3,constant_power_A_real,5060.36,0.0,2530.18,0.0
load,R2-12-47-3_load_3,constant_power_B_real,6395.01,0.0,3197.505,0.0
load,R2-12-47-3_load_3,constant_power_C_real,5269.0,0.0,2634.5,0.0
load,R2-12-47-3_load_3,constant_power_A_reac,2562.11,0.0,1281.055,0.0
load,R2-12-47-3_load_3,constant_power_B_reac,3160.73,0.0,1580.365,0.0
load,R2-12-47-3_load_3,constant_power_C_reac,2556.91,0.0,1278.455,0.0
load,R2-12-47-3_load_4,constant_power_A,5060.36,2562.11,2530.18,1281.055
load,R2-12-47-3_load_4,constant_power_B,6395.01,3160.73,3197.505,1580.365
load,R2-12-47-3_load_4,constant_power_C,5269.0,2556.91,2634.5,1278.455
load,R2-12-47-3_load_4,constant_power_A_real,5060.36,0.0,2530.18,0.0
load,R2-12-47-3_load_4,constant_power_B_real,6395.01,0.0,3197.505,0.0
load,R2-12-47-3_load_4,constant_power_C_real,5269.0,0.0,2634.5,0.0
load,R2-12-47-3_load_4,constant_power_A_reac,2562.11,0.0,1281.055,0.0
load,R2-12-47-3_load_4,constant_power_B_reac,3160.73,0.0,1580.365,0.0
load,R2-12-47-3_load_4,constant_power_C_reac,2556.91,0.0,1278.455,0.0
load,R2-12-47-3_load_5,constant_power_A,25301.8,12810.5,12650.9,6405.25
load,R2-12-47-3_load_5,constant_power_B,31975.1,15803.7,15987.55,7901.85
load,R2-12-47-3_load_5,constant_power_C,26345.0,12784.6,13172.5,6392.3
load,R2-12-47-3_load_5,constant_power_A_real,25301.8,0.0,12650.9,0.0
